step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used
0,0,0,2.4833648204803467,-1.0,1.7161094058802,inf,inf,-88.04383850097656,0.5240346789360046,0.3053620457649231,30.47021484375,12.61008071899414,0.013573691248893738,0.3552556037902832,0.4208620488643646,-157.18080139160156,26.666666666666668,0,nan,0,nan,0.0,nan,0
1,0,1,2.912872552871704,-1.0,1.7851350924885971,inf,inf,-88.04383850097656,0.31085216999053955,0.12917907536029816,36.265174865722656,12.455080032348633,0.057332843542099,0.3514738231897354,0.5022968798875809,-241.93490600585938,26.666666666666668,0,nan,0,nan,0.0,nan,0
2,0,2,3.6755595207214355,-1.0,1.7003793692701832,inf,inf,-88.04383850097656,0.14211389422416687,0.15157556533813477,73.66386413574219,14.230932235717773,0.002800673246383667,-0.11744798719882965,-0.20668143033981323,-612.6068725585938,26.666666666666668,0,nan,0,nan,0.0,nan,0
3,0,3,4.03767728805542,-1.0,1.6645470068526638,inf,inf,-88.04383850097656,0.22110077738761902,0.16474783420562744,81.76226043701172,14.34421443939209,-0.013793855905532837,1.9033936560153961,2.068088084459305,-626.9912719726562,26.666666666666668,0,nan,0,nan,0.0,nan,0
4,0,4,5.202340602874756,-1.0,1.74842935187979,inf,inf,-88.04383850097656,0.4453577399253845,0.17790324985980988,67.02047729492188,15.846476554870605,0.03151056170463562,-1.236854076385498,-1.242174208164215,-738.5684814453125,26.666666666666668,0,nan,0,nan,0.0,nan,0
5,0,5,5.200400352478027,-1.0,1.6598431528727182,inf,inf,-88.04383850097656,0.047931279987096786,0.055568158626556396,88.62176513671875,15.987516403198242,0.004190117120742798,5.648209095001221,5.421569913625717,-339.4576721191406,26.666666666666668,0,nan,0,nan,0.0,nan,0
6,0,6,5.8404436111450195,-1.0,1.8647490687017094,inf,inf,-88.04383850097656,0.15228548645973206,0.041059449315071106,94.27651977539062,13.936161041259766,-0.0010923147201538086,0.19404718279838562,0.18227067589759827,-283.2628479003906,26.666666666666668,0,nan,0,nan,0.0,nan,0
7,0,7,4.793751239776611,-1.0,1.6923820393953202,inf,inf,-88.04383850097656,0.0025281887501478195,0.01792040467262268,48.439971923828125,9.34902572631836,-0.010116010904312134,-0.4964653104543686,-0.3704031705856323,-91.98719024658203,26.666666666666668,0,nan,0,nan,0.0,nan,0
8,0,8,4.2009501457214355,-1.0,1.593643108684487,inf,inf,-88.04383850097656,0.0101010762155056,0.014327915385365486,35.846900939941406,7.283186435699463,-0.023602589964866638,0.24759963154792786,0.12313491106033325,-47.987911224365234,26.666666666666668,0,nan,0,nan,0.0,nan,0
9,0,9,3.881603956222534,-1.0,1.4533401596736164,inf,inf,-88.04383850097656,0.005185515619814396,0.027204329147934914,37.35393142700195,6.495469093322754,0.00016021728515625,-0.7575860172510147,-0.6618223786354065,45.06135940551758,26.666666666666668,0,nan,0,nan,0.0,nan,0
10,0,10,3.101059913635254,-1.0,1.3592483078163218,inf,inf,-88.04383850097656,0.008243536576628685,0.016087409108877182,21.304777145385742,5.223104476928711,-0.0019274502992630005,-0.44788387417793274,-0.3545684516429901,84.61068725585938,26.666666666666668,0,nan,0,nan,0.0,nan,0
11,0,11,3.141711950302124,-1.0,1.3832108717851728,inf,inf,-88.04383850097656,0.06440511345863342,0.040281545370817184,26.888710021972656,7.830741882324219,-0.0013686418533325195,-0.19389554858207703,-0.3505665808916092,2.2684810161590576,26.666666666666668,0,nan,0,nan,0.0,nan,0
12,0,12,3.8034074306488037,-1.0,1.2650377458814772,inf,inf,-88.04383850097656,0.015931975096464157,0.07907487452030182,17.18608283996582,7.5546722412109375,-0.00699479877948761,-0.5880715698003769,-0.6819203197956085,73.40373229980469,26.666666666666668,0,nan,0,nan,0.0,nan,0
13,0,13,4.2964630126953125,-1.0,1.169988132541171,inf,inf,-88.04383850097656,0.028579525649547577,0.09086087346076965,53.72882843017578,10.166159629821777,-0.020686864852905273,-1.0870019644498825,-0.8614308536052704,-151.49847412109375,26.666666666666668,0,nan,0,nan,0.0,nan,0
14,0,14,3.0178422927856445,-1.0,1.1543874749857563,inf,inf,-88.04383850097656,0.11681489646434784,0.11520416289567947,13.422469139099121,14.921985626220703,-0.025781184434890747,-0.12879107892513275,0.023028135299682617,-14.710188865661621,26.666666666666668,0,nan,0,nan,0.0,nan,0
15,0,15,3.572665214538574,-1.0,1.7484843129654477,inf,inf,-88.04383850097656,1.465357780456543,0.20652350783348083,205.08677673339844,42.66082000732422,-0.14308315515518188,11.149820700287819,13.96902933716774,-93.05447387695312,26.666666666666668,0,nan,0,nan,0.0,nan,0
16,0,16,3.489238739013672,-1.0,1.7556093172259934,inf,inf,-88.04383850097656,0.010069373995065689,0.005533430725336075,19.554187774658203,2.572016716003418,-0.006080374121665955,-0.7469918131828308,-0.5994317382574081,-50.64873123168945,26.666666666666668,0,nan,0,nan,0.0,nan,0
17,0,17,3.304351329803467,-1.0,2.5846743556041067,inf,inf,-88.04383850097656,0.007451116107404232,0.0007416806183755398,7.513455390930176,1.6427726745605469,-0.0008581876754760742,-0.06433248519897461,-0.06027638912200928,52.351837158203125,26.666666666666668,0,nan,0,nan,0.0,nan,0
18,0,18,3.055816411972046,-1.0,3.3769406694692634,inf,inf,-88.04383850097656,0.0041736881248652935,0.0003972165286540985,6.482486248016357,1.7058229446411133,-0.00037732720375061035,-0.19624346494674683,-0.1950751394033432,40.74850082397461,26.666666666666668,0,nan,0,nan,0.0,nan,0
19,0,19,2.3817710876464844,-1.0,3.0475867796185923,inf,inf,-88.04383850097656,2.1790339815197513e-05,0.0002612695097923279,4.45095682144165,1.4501545429229736,-1.9237399101257324e-05,0.0700133889913559,0.039509475231170654,44.41265106201172,26.666666666666668,0,nan,0,nan,0.0,nan,0
20,0,20,3.0885860919952393,-1.0,2.8156410751375285,inf,inf,-88.04383850097656,0.00031687633600085974,0.00043519213795661926,11.16042709350586,1.3929245471954346,-0.00015594065189361572,-0.11773301661014557,-0.15815263986587524,-16.294906616210938,26.666666666666668,0,nan,0,nan,0.0,nan,0
21,0,21,2.725299835205078,-1.0,2.659582060776873,inf,inf,-88.04383850097656,0.0006462458404712379,0.0005149160278961062,8.988317489624023,1.3706793785095215,0.00015988945960998535,-0.1654936820268631,-0.1706601232290268,-10.36375617980957,26.666666666666668,0,nan,0,nan,0.0,nan,0
22,0,22,2.7089266777038574,-1.0,3.2115977110340634,inf,inf,-88.04383850097656,0.009900522418320179,0.0012103714980185032,9.185465812683105,1.3043007850646973,-0.0002872347831726074,-0.14625287055969238,-0.16777943074703217,-19.152652740478516,26.666666666666668,0,nan,0,nan,0.0,nan,0
23,0,23,2.495183229446411,-1.0,3.02085626090078,inf,inf,-88.04383850097656,0.001542579149827361,0.0011827932903543115,1.600833773612976,1.2369781732559204,0.00045894086360931396,-0.0240786075592041,-0.017140090465545654,33.59073257446289,26.666666666666668,0,nan,0,nan,0.0,nan,0
24,0,24,2.5641772747039795,-1.0,2.7258694712264253,inf,inf,-88.04383850097656,0.0005323122604750097,0.007498584687709808,3.4596498012542725,1.3776863813400269,0.0004138350486755371,-0.14667032659053802,-0.13389852643013,6.216845989227295,26.666666666666668,0,nan,0,nan,0.0,nan,0
