step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff
0,0,0,2.4833648204803467,-1.0,0.420871896568592,inf,inf,-157.151611328125,0.0408339761197567,0.09702233970165253,0.0003473013639450073,0.3085431456565857,0.3296310305595398,-157.18190002441406,26.666666666666668,0,nan,0,nan
1,0,1,2.9128670692443848,-1.0,0.6039289911449803,inf,inf,-157.151611328125,0.11624741554260254,0.05163240805268288,0.013009518384933472,0.42970024049282074,0.4916335940361023,-242.08636474609375,26.666666666666668,0,nan,0,nan
2,0,2,3.6749494075775146,-1.0,0.7567187191244998,inf,inf,-157.151611328125,0.0647701621055603,0.03038247674703598,0.0400189608335495,-0.09830823540687561,-0.17109431326389313,-618.0399780273438,26.666666666666668,0,nan,0,nan
3,0,3,4.038458824157715,-1.0,0.9436930948934712,inf,inf,-157.151611328125,0.25050804018974304,0.09537849575281143,-0.029194101691246033,2.0418484658002853,2.1219006031751633,-582.358154296875,26.666666666666668,0,nan,0,nan
4,0,4,5.19923734664917,-1.0,0.8628475231056899,inf,inf,-157.151611328125,0.0037251270841807127,0.027545100077986717,0.006918728351593018,-1.2267556339502335,-1.2388188391923904,-499.08111572265625,26.666666666666668,0,nan,0,nan
5,0,5,5.2111101150512695,-1.0,1.068530604378672,inf,inf,-157.151611328125,0.030857350677251816,0.010568750090897083,-0.010197669267654419,6.247614413499832,5.988224357366562,-348.7464904785156,26.666666666666668,0,nan,0,nan
6,0,6,5.7341108322143555,-1.0,1.0774503419894612,inf,inf,-157.151611328125,0.004165355581790209,0.0035978707019239664,0.004311710596084595,0.0992923378944397,0.07036516070365906,-215.03050231933594,26.666666666666668,0,nan,0,nan
7,0,7,4.768912315368652,-1.0,0.9721488262551191,inf,inf,-157.151611328125,5.6523615057813004e-05,0.002313205972313881,0.0007333755493164062,-0.6178049594163895,-0.5021633505821228,55.72906494140625,26.666666666666668,0,nan,0,nan
8,0,8,4.100864410400391,-1.0,0.9771093980402739,inf,inf,-157.151611328125,0.002135606249794364,0.0020901362877339125,-0.003991320729255676,0.08957664668560028,0.02781614661216736,46.67717742919922,26.666666666666668,0,nan,0,nan
9,0,9,3.8180088996887207,-1.0,1.0621190098639675,inf,inf,-157.151611328125,0.0057038613595068455,0.0031216309871524572,0.001147538423538208,-0.8370313346385956,-0.7467618137598038,54.72704315185547,26.666666666666668,0,nan,0,nan
