step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used
0,0,0,2.4813928604125977,-1.0,0.6326257707798849,inf,inf,-172.55059814453125,0.05477486550807953,0.08658336102962494,26.3583984375,12.269637107849121,0.004609495401382446,0.24341654777526855,0.24600951373577118,-172.5857696533203,26.666666666666668,0,nan,0,nan,0.0,nan,0
1,0,1,2.6977529525756836,-1.0,0.5904363783334796,inf,inf,-172.55059814453125,0.005737339146435261,0.027225781232118607,21.292814254760742,11.878914833068848,-0.0006574690341949463,-0.1685435175895691,-0.1468716859817505,-194.64669799804688,26.666666666666668,0,nan,0,nan,0.0,nan,0
2,0,2,2.9652745723724365,-1.0,0.5373241167172987,inf,inf,-172.55059814453125,0.000616403529420495,0.010392251424491405,35.3524284362793,11.944459915161133,0.00018087029457092285,0.12795984745025635,0.17014038562774658,-219.8897247314453,26.666666666666668,0,nan,0,nan,0.0,nan,0
3,0,3,3.2358407974243164,-1.0,0.484223330856933,inf,inf,-172.55059814453125,2.867687726393342e-05,0.004540168680250645,56.62113952636719,11.695865631103516,-0.0003557950258255005,0.5722354352474213,0.5567552596330643,-243.54266357421875,26.666666666666668,0,nan,0,nan,0.0,nan,0
4,0,4,2.956679344177246,-1.0,0.6023951634286274,inf,inf,-172.55059814453125,0.00622207997366786,0.0037348726764321327,37.57621765136719,11.53776741027832,0.003135383129119873,-0.6157470494508743,-0.4511392265558243,-150.67984008789062,26.666666666666668,0,nan,0,nan,0.0,nan,0
5,0,5,4.396984100341797,-1.0,0.542193938160933,inf,inf,-172.55059814453125,1.0169695769945974e-06,0.0026558919344097376,191.1753692626953,14.233760833740234,-0.00011295080184936523,0.49069949984550476,0.960692286491394,-434.6435241699219,26.666666666666668,0,nan,0,nan,0.0,nan,0
6,0,6,4.880806922912598,-1.0,1.7251669158296692,inf,inf,-172.55059814453125,0.07750018686056137,0.006264198571443558,97.4622802734375,14.86286449432373,-0.050420522689819336,2.1620250791311264,2.146994799375534,-296.1253356933594,26.666666666666668,0,nan,0,nan,0.0,nan,0
7,0,7,5.789359092712402,-1.0,2.9757262444342505,inf,inf,-172.55059814453125,0.025052940472960472,0.0017604780150577426,90.93757629394531,16.80807876586914,0.0029948055744171143,2.664996922016144,3.34844172000885,-223.66262817382812,26.666666666666668,0,nan,0,nan,0.0,nan,0
8,0,8,4.591146469116211,-1.0,2.7469885945148476,inf,inf,-172.55059814453125,0.0004387881199363619,0.0006374493823386729,29.8841495513916,9.162636756896973,0.00027973949909210205,-0.23640133440494537,-0.12567594647407532,-58.757057189941406,26.666666666666668,0,nan,0,nan,0.0,nan,0
9,0,9,3.553565502166748,-1.0,2.472490447457623,inf,inf,-172.55059814453125,1.7456427485740278e-06,0.0008697234443388879,15.278979301452637,8.305503845214844,4.132091999053955e-05,-1.064435601234436,-1.1117162704467773,-30.072935104370117,26.666666666666668,0,nan,0,nan,0.0,nan,0
10,0,10,3.1904258728027344,-1.0,2.244783490596618,inf,inf,-172.55059814453125,0.00018486494082026184,0.0009459835710003972,11.67953872680664,7.107121467590332,0.00017870962619781494,0.5365614891052246,0.5859739631414413,-20.40276336669922,26.666666666666668,0,nan,0,nan,0.0,nan,0
11,0,11,4.436574459075928,-1.0,2.273684805524792,inf,inf,-172.55059814453125,0.0040640681982040405,0.0016039441106840968,38.85542678833008,8.729783058166504,-0.0017829835414886475,-0.2890528440475464,-0.5572819858789444,-43.60493469238281,26.666666666666668,0,nan,0,nan,0.0,nan,0
12,0,12,4.031589508056641,-1.0,2.0861441512775993,inf,inf,-172.55059814453125,0.0007970166043378413,0.0020011551678180695,30.453670501708984,14.8497314453125,2.7567148208618164e-05,-0.11234445869922638,0.09456594288349152,-28.37701416015625,26.666666666666668,0,nan,0,nan,0.0,nan,0
13,0,13,3.021343231201172,-1.0,1.8817997683381085,inf,inf,-172.55059814453125,0.0007992652826942503,0.018718015402555466,20.595516204833984,21.362022399902344,-0.0008884817361831665,-0.29513224959373474,-0.2582283318042755,-14.445415496826172,26.666666666666668,0,nan,0,nan,0.0,nan,0
14,0,14,3.0052802562713623,-1.0,1.7266664583417193,inf,inf,-172.55059814453125,0.020956072956323624,0.0634135752916336,39.01737976074219,171.81768798828125,-0.007920771837234497,8.000283271074295,8.42556443810463,84.62024688720703,26.666666666666668,0,nan,0,nan,0.0,nan,0
15,0,15,3.53690505027771,-1.0,1.8524919460218343,inf,inf,-172.55059814453125,0.0019830609671771526,0.0006643595406785607,30.51882553100586,13.036833763122559,-0.001539960503578186,-0.41875120997428894,-0.2602236419916153,20.494613647460938,26.666666666666668,0,nan,0,nan,0.0,nan,0
