step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used
0,0,0,2.4264049530029297,-1.0,2.4042516951807915,inf,inf,-59.32624816894531,1.0281323194503784,0.4276309013366699,19.217132568359375,11.654914855957031,0.0812758207321167,0.33898304402828217,0.38317494094371796,-143.14151000976562,26.666666666666668,0,nan,0,nan,0.0,nan,0
1,0,1,2.65921950340271,-1.0,2.1880045174120553,inf,inf,-59.32624816894531,0.13009226322174072,0.5380606651306152,38.10608673095703,12.639130592346191,0.0007584095001220703,0.8323923796415329,0.8504621982574463,-366.3375244140625,26.666666666666668,0,nan,0,nan,0.0,nan,0
2,0,2,3.0689752101898193,-1.0,2.636116252240752,inf,inf,-59.32624816894531,2.4374358654022217,0.36548078060150146,62.54905700683594,12.168468475341797,-0.10381636023521423,0.8697211593389511,0.8294116258621216,-623.5254516601562,26.666666666666668,0,nan,0,nan,0.0,nan,0
3,0,3,3.0449156761169434,-1.0,3.3680154603151244,inf,inf,-59.32624816894531,3.23170804977417,0.3246281147003174,39.51911926269531,13.360912322998047,0.024922385811805725,0.6847894191741943,0.9440679103136063,-378.7510681152344,26.666666666666668,0,nan,0,nan,0.0,nan,0
4,0,4,3.830174446105957,-1.0,4.164411912932352,inf,inf,-59.32624816894531,3.451523542404175,0.3045825660228729,59.753562927246094,15.137798309326172,-0.16292379796504974,-0.5141861438751221,-0.6505984514951706,-326.07403564453125,26.666666666666668,0,nan,0,nan,0.0,nan,0
5,0,5,3.9889097213745117,-1.0,6.807237353696743,inf,inf,-59.32624816894531,7.409623622894287,0.24220260977745056,126.62503814697266,12.248878479003906,-0.13999179005622864,-0.05998075008392334,0.08008715510368347,-295.99237060546875,26.666666666666668,0,nan,0,nan,0.0,nan,0
6,0,6,3.6911118030548096,-1.0,11.640548582905158,inf,inf,-59.32624816894531,6.766112327575684,0.12270709872245789,58.794334411621094,11.410642623901367,-0.09330612421035767,0.12613633275032043,0.17851601541042328,-153.7484130859375,26.666666666666668,0,nan,0,nan,0.0,nan,0
7,0,7,4.50874137878418,-1.0,11.134886171164405,inf,inf,-59.32624816894531,2.571788787841797,0.39061638712882996,51.849365234375,13.5067720413208,0.02164815366268158,0.7136364877223969,2.0768026560544968,-129.66085815429688,26.666666666666668,0,nan,0,nan,0.0,nan,0
8,0,8,6.497575283050537,-1.0,10.068489259242345,inf,inf,-59.32624816894531,0.14633262157440186,0.3107396960258484,88.21977233886719,12.552000045776367,-0.05444476008415222,1.5528332591056824,1.6855852901935577,-168.78103637695312,26.666666666666668,0,nan,0,nan,0.0,nan,0
9,0,9,3.823427438735962,-1.0,9.098057636692594,inf,inf,-59.32624816894531,0.08771917223930359,0.24087223410606384,54.247554779052734,10.639119148254395,-0.062357425689697266,0.1610768437385559,0.04723457992076874,-39.30097579956055,26.666666666666668,0,nan,0,nan,0.0,nan,0
