step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff
0,0,0,2.497382640838623,-1.0,0.7355653298679165,inf,inf,-142.17701721191406,0.0471019521355629,0.06403503566980362,-0.0015281140804290771,0.35165655612945557,0.3874690681695938,-142.34434509277344,26.666666666666668,0,nan,0,nan
1,0,1,2.9725046157836914,-1.0,0.7387609931774788,inf,inf,-142.17701721191406,0.03944108635187149,0.051387567073106766,-0.0006199926137924194,0.12909618020057678,-0.0260247141122818,-345.1102294921875,26.666666666666668,0,nan,0,nan
2,0,2,3.6353282928466797,-1.0,0.7528946744345173,inf,inf,-142.17701721191406,0.011837535537779331,0.013450250029563904,0.0004891306161880493,0.20717160403728485,0.2084565907716751,-594.146240234375,26.666666666666668,0,nan,0,nan
3,0,3,4.169930458068848,-1.0,0.7486452205846499,inf,inf,-142.17701721191406,0.004594530910253525,0.006467525381594896,-0.0002359449863433838,-0.77378249168396,-0.7405574768781662,-482.29315185546875,26.666666666666668,0,nan,0,nan
4,0,4,3.8219923973083496,-1.0,0.6785109087654432,inf,inf,-142.17701721191406,0.00013920155470259488,0.0029428196139633656,3.4123659133911133e-06,-0.34243160486221313,-0.3836611807346344,-336.3614501953125,26.666666666666668,0,nan,0,nan
5,0,5,6.849886894226074,-1.0,0.6388846383509372,inf,inf,-142.17701721191406,0.001497148536145687,0.005304368678480387,-0.0003031492233276367,-1.4610799849033356,-1.5172767490148544,-549.52392578125,26.666666666666668,0,nan,0,nan
6,0,6,6.361328125,-1.0,0.6133553635425054,inf,inf,-142.17701721191406,0.0015395462978631258,0.004013500642031431,-3.853440284729004e-05,-1.2935162484645844,-1.2747489511966705,-204.22235107421875,26.666666666666668,0,nan,0,nan
7,0,7,6.956546306610107,-1.0,0.6122345328685962,inf,inf,-142.17701721191406,0.0012737137731164694,0.002115286886692047,-0.0001684427261352539,-2.615362510085106,-2.7172022610902786,-79.81498718261719,26.666666666666668,0,nan,0,nan
8,0,8,4.784000396728516,-1.0,0.8122994968672756,inf,inf,-142.17701721191406,0.01527486927807331,0.005845980253070593,-0.0009246468544006348,-1.0631907731294632,-1.0103404521942139,-98.73562622070312,26.666666666666668,0,nan,0,nan
9,0,9,4.09092378616333,-1.0,0.7347928339222234,inf,inf,-142.17701721191406,0.00029874788015149534,0.008023767732083797,-2.8967857360839844e-05,-0.5976507514715195,-0.5268017202615738,-55.71479034423828,26.666666666666668,0,nan,0,nan
10,0,10,4.330421447753906,-1.0,0.6685361939806528,inf,inf,-142.17701721191406,0.00028971597203053534,0.004011217970401049,3.4362077713012695e-05,-0.3749079406261444,-0.346887469291687,125.31098937988281,26.666666666666668,0,nan,0,nan
11,0,11,4.906526565551758,-1.0,0.6293224466029553,inf,inf,-142.17701721191406,0.00032495943014509976,0.0011756907915696502,-1.9162893295288086e-05,-0.6262733042240143,-0.5626640766859055,44.98275375366211,26.666666666666668,0,nan,0,nan
12,0,12,3.6447243690490723,-1.0,0.5847836519292506,inf,inf,-142.17701721191406,0.0008645546622574329,0.004700339864939451,4.941225051879883e-05,-0.03684067726135254,-0.046675875782966614,57.91190719604492,26.666666666666668,0,nan,0,nan
13,0,13,3.308183431625366,-1.0,0.6603905945575705,inf,inf,-142.17701721191406,0.0014065708965063095,0.0010490119457244873,-5.8978796005249023e-05,-0.4561721831560135,-0.42303138971328735,16.622821807861328,26.666666666666668,0,nan,0,nan
14,0,14,4.455868244171143,-1.0,0.6143769823157516,inf,inf,-142.17701721191406,5.843010148964822e-05,0.000291779258986935,-6.124377250671387e-06,-0.5560900568962097,-0.5729069709777832,21.47057342529297,26.666666666666668,0,nan,0,nan
15,0,15,6.180821895599365,-1.0,0.5551797609439163,inf,inf,-142.17701721191406,1.848852843977511e-05,0.0008252050611190498,1.385807991027832e-05,-0.46038810908794403,-0.4660671651363373,-82.89627075195312,26.666666666666668,0,nan,0,nan
16,0,16,5.428711891174316,-1.0,0.502487312943726,inf,inf,-142.17701721191406,2.8308102628216147e-05,0.0010018694447353482,-1.5750527381896973e-05,-1.5514895915985107,-1.6173396408557892,-162.1909942626953,26.666666666666668,0,nan,0,nan
17,0,17,2.7120676040649414,-1.0,0.8266256008896694,inf,inf,-142.17701721191406,0.0019205017015337944,0.0005129722994752228,-3.482401371002197e-05,-0.08650468289852142,-0.182439923286438,28.25689125061035,26.666666666666668,0,nan,0,nan
18,0,18,2.8073909282684326,-1.0,0.7787132931489505,inf,inf,-142.17701721191406,0.00019017088925465941,0.0005472503835335374,-2.8908252716064453e-06,-0.24763911962509155,-0.23676826059818268,96.53394317626953,26.666666666666668,0,nan,0,nan
19,0,19,3.2113595008850098,-1.0,0.7193901021853818,inf,inf,-142.17701721191406,0.00015502770838793367,0.0008358127670362592,-4.127621650695801e-06,-0.32697536051273346,-0.34096284210681915,14.62858772277832,26.666666666666668,0,nan,0,nan
20,0,20,2.8879823684692383,-1.0,0.7317417192668924,inf,inf,-142.17701721191406,0.00017306885274592787,0.00020532395865302533,-6.899237632751465e-06,-0.14119599759578705,-0.10924001038074493,82.0164794921875,26.666666666666668,0,nan,0,nan
21,0,21,2.544954299926758,-1.0,0.6596055866745815,inf,inf,-142.17701721191406,1.1823267414001748e-05,0.0011389999417588115,1.2800097465515137e-05,-0.1263163685798645,-0.11464177072048187,-6.885873317718506,26.666666666666668,0,nan,0,nan
22,0,22,2.596179485321045,-1.0,0.6023737582490868,inf,inf,-142.17701721191406,3.321018812130205e-05,0.0003804698644671589,-1.5795230865478516e-06,-0.0874960869550705,-0.08589287102222443,-5.049516677856445,26.666666666666668,0,nan,0,nan
23,0,23,3.472916603088379,-1.0,0.5582404050819468,inf,inf,-142.17701721191406,0.0005932289059273899,0.0036837311927229166,2.9549002647399902e-05,-0.2317952662706375,-0.20953935384750366,-41.66007995605469,26.666666666666668,0,nan,0,nan
24,0,24,2.893430233001709,-1.0,0.5474197322128896,inf,inf,-142.17701721191406,0.0024860301055014133,0.005524097941815853,6.002187728881836e-05,-0.1678626388311386,-0.1761513203382492,-12.718842506408691,26.666666666666668,0,nan,0,nan
25,0,25,2.510866403579712,-1.0,0.5044926211744127,inf,inf,-142.17701721191406,0.001161485444754362,0.009830715134739876,-7.840991020202637e-05,-0.15599676966667175,-0.10260617733001709,13.646825790405273,26.666666666666668,0,nan,0,nan
26,0,26,3.1188931465148926,-1.0,0.4885315678350399,inf,inf,-142.17701721191406,0.000691134191583842,0.0020039724186062813,-4.1872262954711914e-05,-0.08828708529472351,-0.11319057643413544,-230.76902770996094,26.666666666666668,0,nan,0,nan
