step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar
0,0,0,2.390139579772949,-1.0,0.21262404742948135,inf,inf,-79.46110534667969,0.027856091037392616,0.1310110092163086,-0.002078533172607422,0.13188972075780234,0.09550539652506511,-79.51214599609375,23.52941176470588,1,nan
1,0,1,2.6351828575134277,-1.0,0.24916422006783434,inf,inf,-79.46110534667969,0.054100751876831055,0.09359574317932129,-0.002722163995107015,0.36964025100072223,0.382632315158844,-216.85157775878906,23.52941176470588,1,nan
2,0,2,2.6098077297210693,-1.0,0.32813418235519837,inf,inf,-79.46110534667969,0.053311556577682495,0.05131717398762703,-0.00017801920572916666,0.42029927174250287,0.48394715785980225,-192.7561492919922,23.52941176470588,1,nan
3,0,3,3.048870801925659,-1.0,0.4665569923688587,inf,inf,-79.46110534667969,0.04069714993238449,0.023766670376062393,-0.002687235673268636,0.5853696266810099,0.5044576525688171,-208.97438049316406,23.52941176470588,1,nan
4,0,4,3.8904948234558105,-1.0,0.4299670578206966,inf,inf,-79.46110534667969,0.0014551992062479258,0.014456916600465775,-0.0002569754918416341,-0.4722605546315511,-0.2235637903213501,-570.2525634765625,23.52941176470588,1,nan
5,0,5,3.634838104248047,-1.0,0.6591438109899131,inf,inf,-79.46110534667969,0.006355161778628826,0.00233496748842299,-0.0007584691047668457,-0.4708905816078186,-0.49143876632054645,-151.53782653808594,23.52941176470588,1,nan
6,0,6,4.216104984283447,-1.0,0.6654189170607139,inf,inf,-79.46110534667969,0.0018892233492806554,0.0026170338969677687,-8.28107198079427e-05,-0.2045828104019165,-0.2991034785906474,-103.34419250488281,23.52941176470588,1,nan
7,0,7,4.840544700622559,-1.0,0.605223022920245,inf,inf,-79.46110534667969,0.00014655267295893282,0.002309371717274189,-2.4278958638509113e-05,-0.06471232573191325,-0.08777240912119548,-119.47740936279297,23.52941176470588,1,nan
8,0,8,4.649250030517578,-1.0,0.5626745620812282,inf,inf,-79.46110534667969,0.00025255343643948436,0.0014051166363060474,3.627936045328776e-05,-1.1886848012606304,-1.0180403590202332,56.9025764465332,23.52941176470588,1,nan
9,0,9,3.7311105728149414,-1.0,0.5325550467058316,inf,inf,-79.46110534667969,0.0001525486441096291,0.0005834059556946158,-2.8053919474283855e-05,-0.8802028695742289,-0.8036996126174927,46.71247863769531,23.52941176470588,1,nan
10,0,10,3.0569324493408203,-1.0,0.6428425285558353,inf,inf,-79.46110534667969,0.00043188637937419116,0.0002640812599565834,-4.4226646423339844e-05,-0.5213884115219116,-0.464774747689565,59.47410583496094,23.52941176470588,1,nan
11,0,11,2.6715073585510254,-1.0,0.6938598242487579,inf,inf,-79.46110534667969,0.0002005641581490636,0.00017394749738741666,-1.1821587880452475e-05,-0.1735156774520874,-0.2205009659131368,49.821556091308594,23.52941176470588,1,nan
12,0,12,3.1458539962768555,-1.0,1.5423702829382546,inf,inf,-79.46110534667969,0.002958101686090231,0.00032226965413428843,-0.00011448065439860026,-0.5187470515569051,-0.5690440138181051,33.057884216308594,23.52941176470588,1,nan
13,0,13,3.3121180534362793,-1.0,1.4637205048359425,inf,inf,-79.46110534667969,0.00040674794581718743,0.000538117135874927,-2.1338462829589844e-05,-0.8756370941797892,-0.9660128355026245,-16.168140411376953,23.52941176470588,1,nan
14,0,14,2.9097211360931396,-1.0,1.5269808118668275,inf,inf,-79.46110534667969,0.0013301459839567542,0.0006345136789605021,-1.8894672393798828e-05,-0.34384514888127643,-0.3371146321296692,18.33160400390625,23.52941176470588,1,nan
15,0,15,2.854567289352417,-1.0,1.3916069448486754,inf,inf,-79.46110534667969,0.00014143432781565934,0.0008163967868313193,2.0265579223632812e-06,-0.31959571441014606,-0.29450645049413043,24.008686065673828,23.52941176470588,1,nan
16,0,16,2.611538887023926,-1.0,1.3145659620214074,inf,inf,-79.46110534667969,0.0007835557335056365,0.0012613640865311027,-6.218751271565755e-06,-0.2029106616973877,-0.18700844049453735,50.67659378051758,23.52941176470588,1,nan
17,0,17,2.7378406524658203,-1.0,1.238722823852959,inf,inf,-79.46110534667969,0.0017503603594377637,0.0031473683193325996,1.4980634053548178e-05,-0.30435844262441,-0.2522263526916504,42.93259811401367,23.52941176470588,1,nan
18,0,18,2.4399373531341553,-1.0,1.1207928588310163,inf,inf,-79.46110534667969,6.990751717239618e-05,0.0011764352675527334,3.4968058268229165e-06,-0.10739757617314656,-0.1371510624885559,54.52726745605469,23.52941176470588,1,nan
19,0,19,2.743027687072754,-1.0,1.0791637358067239,inf,inf,-79.46110534667969,0.000706316321156919,0.001002575852908194,-2.785523732503255e-05,-0.2609291076660156,-0.23729264736175537,24.119810104370117,23.52941176470588,1,nan
20,0,20,2.4663960933685303,-1.0,0.9713282326029352,inf,inf,-79.46110534667969,2.4827161269058706e-06,0.003069994505494833,-8.344650268554688e-07,-0.15097532669703165,-0.15757975975672403,38.56700134277344,23.52941176470588,1,nan
21,0,21,2.4148898124694824,-1.0,0.9076629112545906,inf,inf,-79.46110534667969,0.0011280127801001072,0.0033704719971865416,-8.91884167989095e-05,-0.15872792402903238,-0.16358186801274618,17.31722640991211,23.52941176470588,1,nan
22,0,22,2.22141432762146,-1.0,0.8893830775145918,inf,inf,-79.46110534667969,0.0013180483365431428,0.0018183373613283038,8.014837900797526e-05,-0.050268749396006264,-0.06212864319483439,24.502870559692383,23.52941176470588,1,nan
23,0,23,2.3965628147125244,-1.0,0.9482503985546791,inf,inf,-79.46110534667969,0.0013171591563150287,0.0008911427576094866,-4.760424296061198e-05,-0.08553262551625569,-0.10881417989730835,-11.887483596801758,23.52941176470588,1,nan
24,0,24,2.448850393295288,-1.0,0.9999116686224614,inf,inf,-79.46110534667969,0.0011511814082041383,0.0007858627941459417,3.266334533691406e-05,-0.16286003589630127,-0.14447025458017984,11.04841423034668,23.52941176470588,1,nan
25,0,25,2.2898077964782715,-1.0,1.0133981147897848,inf,inf,-79.46110534667969,0.0002715193841140717,0.0002392713213339448,-1.708666483561198e-05,-0.1032538612683614,-0.08342811465263367,17.476295471191406,23.52941176470588,1,nan
26,0,26,2.3108644485473633,-1.0,0.9514616443224313,inf,inf,-79.46110534667969,2.3947142835822888e-05,6.077439684304409e-05,-3.914038340250651e-06,-0.03324904044469198,-0.03827395041783651,18.851686477661133,23.52941176470588,1,nan
27,0,27,2.0969996452331543,-1.0,0.8886770025935721,inf,inf,-79.46110534667969,2.396034869889263e-05,7.403962081298232e-05,-1.5894571940104166e-07,-0.03213276465733846,-0.031576196352640785,22.91759490966797,23.52941176470588,1,nan
28,0,28,2.1449005603790283,-1.0,0.8034645412121696,inf,inf,-79.46110534667969,2.111183675879147e-06,5.775774843641557e-05,1.2715657552083333e-06,-0.036198953787485756,-0.03386233250300089,24.37046241760254,23.52941176470588,1,nan
29,0,29,2.147221088409424,-1.0,1.010942214786943,inf,inf,-79.46110534667969,0.00020010188745800406,6.952227704459801e-05,-1.3927618662516275e-05,-0.059882124265034996,-0.06174691518147787,8.62215805053711,23.52941176470588,1,nan
30,0,30,2.0886054039001465,-1.0,0.9118041161388277,inf,inf,-79.46110534667969,4.070743671036325e-06,0.0002081026614177972,-1.0728836059570312e-06,-0.07692269484202068,-0.08482646942138672,25.39666748046875,23.52941176470588,1,nan
31,0,31,2.059581756591797,-1.0,1.0501323435512597,inf,inf,-79.46110534667969,0.0004372081020846963,0.0001904974487842992,-3.405412038167318e-05,-0.05448662241299947,-0.05754746993382772,18.456405639648438,23.52941176470588,1,nan
32,0,32,2.0980687141418457,-1.0,0.9550833964916168,inf,inf,-79.46110534667969,3.799096157308668e-05,0.0003812712384387851,-1.3510386149088542e-06,-0.007496496041615804,-0.02334703008333842,17.130014419555664,23.52941176470588,1,nan
33,0,33,2.0728557109832764,-1.0,0.8608114093950742,inf,inf,-79.46110534667969,3.0482497095363215e-06,0.0002465518191456795,-5.563100179036459e-07,-0.03547588984171549,-0.04182033737500509,21.751964569091797,23.52941176470588,1,nan
34,0,34,2.054701328277588,-1.0,1.1177877587894616,inf,inf,-79.46110534667969,0.0013819916639477015,0.0004028455005027354,-5.6991974512736e-05,-0.044923235972722374,-0.053366233905156456,16.177431106567383,23.52941176470588,1,nan
35,0,35,2.1459360122680664,-1.0,1.1231494396268982,inf,inf,-79.46110534667969,0.00026323553174734116,0.00022471786360256374,-2.9305617014567056e-06,-0.04999168713887533,-0.0556453267733256,17.215084075927734,23.52941176470588,1,nan
36,0,36,1.9067637920379639,-1.0,1.2397594237761271,inf,inf,-79.46110534667969,0.0006202613585628569,0.00027094531105831265,7.559855779012044e-06,-0.02565319339434306,-0.017213364442189533,14.46373176574707,23.52941176470588,1,nan
37,0,37,2.0285186767578125,-1.0,1.115812949752736,inf,inf,-79.46110534667969,7.496362997017059e-08,0.0002543868904467672,-9.735425313313801e-07,-0.061980624993642174,-0.05982715884844462,20.06765365600586,23.52941176470588,1,nan
38,0,38,2.150846004486084,-1.0,1.051183226694419,inf,inf,-79.46110534667969,0.00016966689145192504,0.000361365731805563,3.556410471598307e-06,-0.11265196402867635,-0.06482139229774475,-58.17845153808594,23.52941176470588,1,nan
39,0,39,2.0480966567993164,-1.0,1.0296796551745244,inf,inf,-79.46110534667969,9.037168638315052e-05,0.00010808103252202272,1.2914339701334635e-07,-0.055649916330973305,-0.03990389903386434,7.019972801208496,23.52941176470588,1,nan
40,0,40,2.1100707054138184,-1.0,0.9479247326877586,inf,inf,-79.46110534667969,1.7182439478347078e-05,8.099940896499902e-05,1.1920928955078125e-06,-0.020843793948491413,-0.029134929180145264,9.072713851928711,23.52941176470588,1,nan
41,0,41,1.9776264429092407,-1.0,0.9120746874994111,inf,inf,-79.46110534667969,3.2523417758056894e-05,5.517827958101407e-05,-3.7749608357747397e-06,-0.027941405773162842,-0.033180067936579384,8.018357276916504,23.52941176470588,1,nan
42,0,42,1.9496064186096191,-1.0,0.8239153976317531,inf,inf,-79.46110534667969,1.7871564068627777e-06,5.863029946340248e-05,-1.7881393432617188e-07,-0.03088914354642232,-0.027617474397023518,13.04936408996582,23.52941176470588,1,nan
43,0,43,1.913611888885498,-1.0,1.5180954006406147,inf,inf,-79.46110534667969,0.0009250782313756645,0.00011912337504327297,-5.009770393371582e-05,-0.033734659353892006,-0.03364075223604838,11.259039878845215,23.52941176470588,1,nan
44,0,44,2.082951545715332,-1.0,1.7570449024490002,inf,inf,-79.46110534667969,0.0005513901123777032,0.00014110744814388454,-2.613663673400879e-05,-0.07510512073834737,-0.08373149236043294,10.618375778198242,23.52941176470588,1,nan
45,0,45,2.091860771179199,-1.0,1.593858272711661,inf,inf,-79.46110534667969,2.878022860386409e-05,0.00022991331934463233,-1.986821492513021e-06,-0.06846292813618977,-0.08491525053977966,9.996390342712402,23.52941176470588,1,nan
46,0,46,1.9938476085662842,-1.0,1.4364425726400023,inf,inf,-79.46110534667969,9.075646971723472e-07,4.606629954650998e-05,1.4603137969970703e-06,-0.044634719689687095,-0.04649604360262553,7.647439956665039,23.52941176470588,1,nan
47,0,47,1.966011881828308,-1.0,1.3311479377928472,inf,inf,-79.46110534667969,4.04770762543194e-05,0.00010554752225289121,5.622704823811849e-06,-0.0721636414527893,-0.07319919268290202,8.058832168579102,23.52941176470588,1,nan
48,0,48,1.9713857173919678,-1.0,1.2298906098804168,inf,inf,-79.46110534667969,2.6662122763809748e-05,8.369191345991567e-05,-4.897514979044597e-06,-0.06461793184280396,-0.06729218363761902,5.560513496398926,23.52941176470588,1,nan
49,0,49,1.9488884210586548,-1.0,1.1665017841287455,inf,inf,-79.46110534667969,3.3536220144014806e-05,5.6268603657372296e-05,-4.967053731282552e-07,-0.05985903739929199,-0.06999542315800984,-14.410516738891602,23.52941176470588,1,nan
50,0,50,2.2447543144226074,-1.0,1.2100985616206301,inf,inf,-79.46110534667969,0.00015630864072591066,9.754234633874148e-05,-3.0199686686197915e-06,-0.07397310932477315,-0.07538572947184245,-8.412757873535156,23.52941176470588,1,nan
51,0,51,1.9347782135009766,-1.0,1.148074619363211,inf,inf,-79.46110534667969,5.769563722424209e-05,9.781256812857464e-05,-3.6160151163736978e-06,-0.03038957715034485,-0.034391433000564575,10.375147819519043,23.52941176470588,1,nan
52,0,52,1.8479499816894531,-1.0,1.8918370179683035,inf,inf,-79.46110534667969,0.0013560150982812047,0.00015793881902936846,-4.948178927103678e-05,-0.05095697442690531,-0.043942044178644814,10.120211601257324,23.52941176470588,1,nan
53,0,53,1.9553396701812744,-1.0,1.7386343219135703,inf,inf,-79.46110534667969,2.6221585358143784e-05,7.287618791451678e-05,5.364418029785156e-07,-0.046274652083714805,-0.04769287506739298,13.005849838256836,23.52941176470588,1,nan
54,0,54,1.9268815517425537,-1.0,1.618018863580585,inf,inf,-79.46110534667969,3.910694795195013e-05,7.344307232415304e-05,1.8874804178873697e-07,-0.04759892821311951,-0.04566176732381185,9.197726249694824,23.52941176470588,1,nan
55,0,55,1.9365105628967285,-1.0,1.4927602517148848,inf,inf,-79.46110534667969,6.318650412140414e-05,0.0001729087089188397,1.0033448537190755e-06,-0.053264101346333824,-0.05218390623728434,7.831426620483398,23.52941176470588,1,nan
56,0,56,1.8683340549468994,-1.0,1.6320699191999393,inf,inf,-79.46110534667969,0.00029115364304743707,0.00010088983981404454,-1.718600591023763e-06,-0.013269960880279541,-0.010262300570805868,6.913293361663818,23.52941176470588,1,nan
57,0,57,1.8303899765014648,-1.0,1.4962637767873586,inf,inf,-79.46110534667969,2.2570682631339878e-05,8.237220026785508e-05,-9.040037790934244e-07,-0.01646752158800761,-0.030718018611272175,5.21372652053833,23.52941176470588,1,nan
58,0,58,1.812816858291626,-1.0,1.5653314195509374,inf,inf,-79.46110534667969,0.00016780055011622608,7.672845822526142e-05,-6.18894894917806e-06,-0.026621967554092407,-0.03320043285687765,4.993526935577393,23.52941176470588,1,nan
59,0,59,1.9000372886657715,-1.0,1.5840009155785988,inf,inf,-79.46110534667969,0.0003586921957321465,0.0002047299058176577,-1.572569211324056e-05,-0.05206116040547689,-0.046202510595321655,8.665824890136719,23.52941176470588,1,nan
60,0,60,1.9089467525482178,-1.0,1.5655851151859994,0.5267323062530576,0.5267323062530576,8.117795944213867,0.09866071492433548,0.0704798474907875,-0.004077692826588948,-0.045265138149261475,-0.0533488392829895,8.115802764892578,23.52941176470588,0,nan
61,0,61,1.8692553043365479,-1.0,1.4118940428703615,0.5267323062530576,0.5267323062530576,8.117795944213867,0.0013229555916041136,0.04613718017935753,-0.000253597895304362,-0.042167077461878456,-0.041821807622909546,8.872072219848633,23.52941176470588,0,nan
62,0,62,1.9099724292755127,-1.0,1.374124969632975,0.5267323062530576,0.5267323062530576,8.117795944213867,0.03100138157606125,0.029976099729537964,-0.0023529926935831704,-0.0382286806901296,-0.020238041877746582,7.102599143981934,23.52941176470588,0,nan
63,0,63,1.8553986549377441,-1.0,1.2404442200601116,0.5267323062530576,0.5267323062530576,8.117795944213867,0.0008149313507601619,0.02183779515326023,0.00022456049919128418,-0.03475468357404073,-0.03543823957443237,9.100366592407227,23.52941176470588,0,nan
64,0,64,1.9715287685394287,-1.0,1.1875511095133207,0.5267323062530576,0.5267323062530576,8.117795944213867,0.024182384833693504,0.03398726508021355,0.0023941099643707275,-0.05421574910481771,-0.06966106096903484,8.095074653625488,23.52941176470588,0,nan
65,0,65,2.0414676666259766,-1.0,1.1081337486968343,0.5267323062530576,0.5267323062530576,8.117795944213867,0.009837870486080647,0.025008726865053177,-0.0014352997144063313,-0.06220275163650513,-0.05429154634475708,9.14012622833252,23.52941176470588,0,nan
66,0,66,1.91697096824646,-1.0,1.0474467969804444,0.5267323062530576,0.5267323062530576,8.117795944213867,0.0173858180642128,0.034683939069509506,-0.002408742904663086,-0.037907193104426064,-0.043126930793126426,2.600270986557007,23.52941176470588,0,nan
67,0,67,1.897160530090332,-1.0,1.3097430083939914,0.5267323062530576,0.5267323062530576,8.117795944213867,0.10055933892726898,0.027397312223911285,-0.005645344654719035,-0.03315167625745138,-0.03254441420237223,7.507198810577393,23.52941176470588,0,nan
68,0,68,1.8874666690826416,-1.0,1.3828354537033791,0.5267323062530576,0.5267323062530576,8.117795944213867,0.06216615438461304,0.03046363778412342,0.00028891364733378094,-0.02855365475018819,-0.027324914932250977,9.998108863830566,23.52941176470588,0,nan
69,0,69,1.9256314039230347,-1.0,1.5851743872603332,0.5267323062530576,0.5267323062530576,8.117795944213867,0.06257738918066025,0.018371479585766792,-0.0016520718733469646,-0.0428284207979838,-0.04278324047724406,10.812807083129883,23.52941176470588,0,nan
70,0,70,1.8181878328323364,-1.0,1.43524391872467,0.5267323062530576,0.5267323062530576,8.117795944213867,0.00152693095151335,0.017781952396035194,0.0003914336363474528,-0.030565897623697918,-0.028881569703420002,4.716928005218506,23.52941176470588,0,nan
71,0,71,1.8761131763458252,-1.0,1.8377527563032747,0.5267323062530576,0.5267323062530576,8.117795944213867,0.11061381548643112,0.020257707685232162,-0.0015319486459096272,-0.03348177671432495,-0.04239574074745178,5.127169609069824,23.52941176470588,0,nan
72,0,72,1.8706730604171753,-1.0,1.6622766739919204,0.5267323062530576,0.5267323062530576,8.117795944213867,0.0014764347579330206,0.01779009960591793,-0.00012621283531188965,-0.02810738484064738,-0.027576933304468792,4.24036169052124,23.52941176470588,0,nan
73,0,73,1.8270028829574585,-1.0,1.5137671194350697,0.5267323062530576,0.5267323062530576,8.117795944213867,0.003459522733464837,0.019525345414876938,-0.0004433294137318929,-0.03526358803113302,-0.033698697884877525,6.183663368225098,23.52941176470588,0,nan
74,0,74,1.9538887739181519,-1.0,1.7334197566482668,0.5267323062530576,0.5267323062530576,8.117795944213867,0.14281821250915527,0.03849243000149727,-0.0056877632935841875,-0.0426349937915802,-0.03594581286112467,7.322281837463379,23.52941176470588,0,nan
75,0,75,1.8022340536117554,-1.0,1.7992810236648344,0.5267323062530576,0.5267323062530576,8.117795944213867,0.05052104964852333,0.021120553836226463,-0.002535333236058553,-0.034256537755330406,-0.03778462608655294,5.042126655578613,23.52941176470588,0,nan
76,0,76,1.9207963943481445,-1.0,1.800317510320266,0.5267323062530576,0.5267323062530576,8.117795944213867,0.02357950061559677,0.013029897585511208,0.0003337860107421875,-0.024712214867273968,-0.028879205385843914,8.424376487731934,23.52941176470588,0,nan
77,0,77,1.8650413751602173,-1.0,1.896866420865788,0.5267323062530576,0.5267323062530576,8.117795944213867,0.04399525001645088,0.015906842425465584,0.00041538476943969727,-0.009349296490351358,-0.007743318875630696,12.689493179321289,23.52941176470588,0,nan
78,0,78,1.9691895246505737,-1.0,1.7238671170251458,0.5267323062530576,0.5267323062530576,8.117795944213867,0.004526078235358,0.027122829109430313,-0.0016276836395263672,-0.05193932851155599,-0.05682013432184855,8.83197021484375,23.52941176470588,0,nan
79,0,79,2.0659122467041016,-1.0,2.2635297214447716,0.5267323062530576,0.5267323062530576,8.117795944213867,0.2554776668548584,0.03587920963764191,-0.010817994674046835,-0.053542772928873696,-0.06488189101219177,12.373045921325684,23.52941176470588,0,0.05
80,0,80,1.865715503692627,-1.0,2.037739858895723,0.5267323062530576,0.02633661531265288,8.117795944213867,0.00015715367044322193,0.027908185496926308,-0.00024033586184183756,-0.03869730234146118,-0.052151391903559365,10.584112167358398,23.52941176470588,0,0.05
81,0,81,1.930070161819458,-1.0,1.961671472624904,0.5267323062530576,0.02633661531265288,8.117795944213867,0.026873772963881493,0.021043535321950912,-0.0025869707266489663,-0.03789721926053365,-0.036479284365971885,9.883610725402832,23.52941176470588,0,0.05
82,0,82,1.86795973777771,-1.0,1.9070052339041788,0.5267323062530576,0.02633661531265288,8.117795944213867,0.034364987164735794,0.02428605407476425,8.606910705566406e-05,-0.045899540185928345,-0.03380082050959269,12.080168724060059,23.52941176470588,0,0.05
83,0,83,1.9258290529251099,-1.0,1.8974519586162266,0.5267323062530576,0.02633661531265288,8.117795944213867,0.03096364252269268,0.017093079164624214,0.00042130549748738605,-0.03175117572148641,-0.032820284366607666,11.009726524353027,23.52941176470588,0,0.05
84,0,84,1.945708155632019,-1.0,2.0799541028366684,0.5267323062530576,0.02633661531265288,8.117795944213867,0.0703330710530281,0.018894176930189133,-0.0018116037050882976,-0.04283724228541056,-0.03873260815938314,10.474939346313477,23.52941176470588,0,0.05
85,0,85,1.8152077198028564,-1.0,2.155402347284339,0.5267323062530576,0.02633661531265288,8.117795944213867,0.05230509862303734,0.018453437834978104,-0.0009212791919708252,-0.032402257124582924,-0.03124275803565979,6.515753746032715,23.52941176470588,0,0.05
86,0,86,1.7821810245513916,-1.0,2.1823770392650013,0.5267323062530576,0.02633661531265288,8.117795944213867,0.043552249670028687,0.017958585172891617,-0.001041134198506673,-0.03093921144803365,-0.02911500136057536,5.449141025543213,23.52941176470588,0,0.05
87,0,87,1.8405373096466064,-1.0,2.0154595509755433,0.5267323062530576,0.02633661531265288,8.117795944213867,0.00612300168722868,0.011930974200367928,-0.0002925097942352295,-0.026506175597508747,-0.027125269174575806,6.533135414123535,23.52941176470588,0,0.05
88,0,88,1.921021580696106,-1.0,1.9231983154558967,0.5267323062530576,0.02633661531265288,8.117795944213867,0.015048470348119736,0.01376996748149395,0.00026921431223551434,-0.026350011428197224,-0.028585175673166912,8.251627922058105,23.52941176470588,0,0.05
89,0,89,1.7685774564743042,-1.0,2.1694236782544505,0.5267323062530576,0.02633661531265288,8.117795944213867,0.04545729234814644,0.010365474969148636,-0.0006004869937896729,-0.03567893306414286,-0.03285100062688192,10.0761079788208,23.52941176470588,0,0.05
90,0,90,1.734232783317566,-1.0,2.145035419154516,0.5267323062530576,0.02633661531265288,8.117795944213867,0.03779606893658638,0.019628804177045822,-0.0014926691850026448,-0.028721868991851807,-0.027296483516693115,7.04053258895874,23.52941176470588,0,0.05
91,0,91,1.879727840423584,-1.0,1.9947903913918665,0.5267323062530576,0.02633661531265288,8.117795944213867,0.007024100050330162,0.010931002907454967,-0.0010260045528411865,-0.033811718225479126,-0.03501773873964945,8.541318893432617,23.52941176470588,0,0.05
92,0,92,1.705820918083191,-1.0,2.283401719862782,0.5267323062530576,0.02633661531265288,8.117795944213867,0.07654958963394165,0.015683487057685852,-0.0010935068130493164,-0.034267683823903404,-0.040333718061447144,-12.935251235961914,23.52941176470588,0,0.05
93,0,93,1.912172794342041,-1.0,2.188604831522107,0.5267323062530576,0.02633661531265288,8.117795944213867,0.013794920407235622,0.010329924523830414,-0.0006384948889414469,-0.03734939297040304,-0.03507943948109945,9.543107986450195,23.52941176470588,0,0.05
94,0,94,1.8733651638031006,-1.0,2.285916877288922,0.5267323062530576,0.02633661531265288,8.117795944213867,0.02758886106312275,0.008725888095796108,-0.0019824703534444175,-0.037028610706329346,-0.04292971889177958,6.087084770202637,23.52941176470588,0,0.05
95,0,95,1.8402953147888184,-1.0,2.095577813673358,0.5267323062530576,0.02633661531265288,8.117795944213867,0.009640336036682129,0.025201763957738876,0.000908354918162028,-0.04345263044039408,-0.04156912366549174,6.110905647277832,23.52941176470588,0,0.05
96,0,96,1.884160041809082,-1.0,1.9305327272217836,0.5267323062530576,0.02633661531265288,8.117795944213867,0.0064439596608281136,0.01447667833417654,-0.0008717477321624756,-0.04210026065508524,-0.037161936362584434,6.56655216217041,23.52941176470588,0,0.05
97,0,97,1.5716278553009033,-1.0,1.9560789045650482,0.5267323062530576,0.02633661531265288,8.117795944213867,0.01141701452434063,0.005222801119089127,-0.0009543100992838541,-0.021220852931340534,-0.023441225290298462,6.016934394836426,23.52941176470588,0,0.05
98,0,98,1.6574405431747437,-1.0,2.4739336770909577,0.5267323062530576,0.02633661531265288,8.117795944213867,0.1377219408750534,0.01930331438779831,-0.0036363601684570312,-0.022349178791046143,-0.026300509770711262,-6.389170169830322,23.52941176470588,0,0.05
99,0,99,1.780145287513733,-1.0,2.360029315752283,0.5267323062530576,0.02633661531265288,8.117795944213867,0.01656467281281948,0.012409016489982605,-0.0004535814126332601,-0.02057287096977234,-0.02143275737762451,6.357654094696045,23.52941176470588,0,0.05
100,0,100,1.7254488468170166,-1.0,2.441393852850776,0.5267323062530576,0.02633661531265288,8.117795944213867,0.046942997723817825,0.014791370369493961,-0.0013327101866404216,-0.03817613919576009,-0.03403074542681376,9.191584587097168,23.52941176470588,0,0.05
101,0,101,1.966673493385315,-1.0,2.5367535646259585,0.5267323062530576,0.02633661531265288,8.117795944213867,0.01701129972934723,0.005010705441236496,-0.001153479019800822,-0.055837114651997886,-0.06225666403770447,9.20576286315918,23.52941176470588,0,0.05
102,0,102,1.7289087772369385,-1.0,2.326996228771763,0.5267323062530576,0.02633661531265288,8.117795944213867,0.0030923280864953995,0.00704113719984889,-0.00015408794085184732,-0.025001247723897297,-0.026583512624104817,11.563236236572266,23.52941176470588,0,0.05
103,0,103,1.653178095817566,-1.0,2.1075616927102514,0.5267323062530576,0.02633661531265288,8.117795944213867,0.0014892156468704343,0.01122658047825098,7.451574007670085e-05,-0.025474061568578083,-0.029987365007400513,7.460346221923828,23.52941176470588,0,0.05
104,0,104,1.6848502159118652,-1.0,2.0083325516179324,0.5267323062530576,0.02633661531265288,8.117795944213867,0.008982235565781593,0.008053864352405071,0.00026360154151916504,-0.057328919569651283,-0.04379533727963766,8.714038848876953,23.52941176470588,0,0.05
105,0,105,1.7044227123260498,-1.0,1.866199202007685,0.5267323062530576,0.02633661531265288,8.117795944213867,0.007716813124716282,0.013146210461854935,-0.0003497004508972168,-0.026533385117848713,-0.02460784713427226,4.442241191864014,23.52941176470588,0,0.05
106,0,106,1.752747893333435,-1.0,1.7450278964880872,0.5267323062530576,0.02633661531265288,8.117795944213867,0.004291994962841272,0.006557808723300695,-0.0003110965092976888,-0.023958414793014526,-0.028922617435455322,4.987482070922852,23.52941176470588,0,0.05
107,0,107,1.9080499410629272,-1.0,1.6386241772355306,0.5267323062530576,0.02633661531265288,8.117795944213867,0.010931416414678097,0.01605222560465336,9.943048159281413e-05,-0.06603814164797465,-0.054068962732950844,6.105998992919922,23.52941176470588,0,0.05
108,0,108,1.7369945049285889,-1.0,2.1137454810026948,0.5267323062530576,0.02633661531265288,8.117795944213867,0.07271815091371536,0.01138028223067522,-0.0030168394247690835,-0.04256818691889445,-0.048830002546310425,4.730765342712402,23.52941176470588,0,0.05
