step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable
0,0,0,2.390139579772949,-1.0,0.21269687447499477,inf,inf,-79.45897674560547,0.027864297851920128,0.13100473582744598,-0.0020597726106643677,0.06004640460014343,0.029611945152282715,-79.51040649414062,26.666666666666668,0,nan,0
1,0,1,2.5540084838867188,-1.0,0.2047556366524955,inf,inf,-79.45897674560547,0.010736960917711258,0.0805567130446434,-0.0009298622608184814,0.23194918036460876,0.19905878603458405,-165.02749633789062,26.666666666666668,0,nan,0
2,0,2,2.5445096492767334,-1.0,0.1925775542345065,inf,inf,-79.45897674560547,0.003966188989579678,0.047799915075302124,0.0006300806999206543,0.27366864681243896,0.2552967071533203,-152.65716552734375,26.666666666666668,0,nan,0
3,0,3,2.7000765800476074,-1.0,0.5883781822974791,inf,inf,-79.45897674560547,0.0588991716504097,0.01419057510793209,-0.0015980303287506104,0.4660075604915619,0.4331565201282501,-125.05225372314453,26.666666666666668,0,nan,0
4,0,4,3.1219794750213623,-1.0,0.6379371368266287,inf,inf,-79.45897674560547,0.023552581667900085,0.021728120744228363,-0.0006224364042282104,0.30173729360103607,0.39615298807621,-272.6958312988281,26.666666666666668,0,nan,0
5,0,5,3.973680019378662,-1.0,0.5741696079012775,inf,inf,-79.45897674560547,3.268119144195225e-06,0.012480998411774635,3.859400749206543e-06,-0.40307173132896423,-0.5894719660282135,-437.2564392089844,26.666666666666668,0,nan,0
6,0,6,4.135226726531982,-1.0,0.6040040224447071,inf,inf,-79.45897674560547,0.00795703660696745,0.00911966897547245,-0.0003224015235900879,-0.5482239872217178,-0.5334570407867432,-246.46348571777344,26.666666666666668,0,nan,0
7,0,7,5.315505504608154,-1.0,0.5638545602752472,inf,inf,-79.45897674560547,0.00177818036172539,0.008780729956924915,-0.0003298521041870117,-0.29670026898384094,-0.49815425276756287,-327.281982421875,26.666666666666668,0,nan,0
8,0,8,6.065929889678955,-1.0,1.4646754160520938,inf,inf,-79.45897674560547,0.11313574761152267,0.011819369159638882,-0.004093557596206665,-1.886768400669098,-1.7767181545495987,-257.24725341796875,26.666666666666668,0,nan,0
9,0,9,5.614322662353516,-1.0,1.448388058473091,inf,inf,-79.45897674560547,0.01448371447622776,0.011125897988677025,-0.00046165287494659424,-1.3201761841773987,-1.4072789400815964,-107.8656234741211,26.666666666666668,0,nan,0
10,0,10,5.001702308654785,-1.0,1.4278412025343945,inf,inf,-79.45897674560547,0.0068243942223489285,0.005490616429597139,-0.00038424134254455566,-1.4343885779380798,-1.405985340476036,-77.0058364868164,26.666666666666668,0,nan,0
11,0,11,3.657132625579834,-1.0,1.3924820569050975,inf,inf,-79.45897674560547,0.005776427686214447,0.005377173889428377,-0.0003967583179473877,-1.0088999420404434,-1.0250187814235687,33.442447662353516,26.666666666666668,0,nan,0
12,0,12,3.527052402496338,-1.0,1.4622736669771477,inf,inf,-79.45897674560547,0.013914188370108604,0.006656238343566656,-0.000910446047782898,-0.772269532084465,-0.8067373335361481,-41.084259033203125,26.666666666666668,0,nan,0
13,0,13,3.786630868911743,-1.0,1.409328679319015,inf,inf,-79.45897674560547,0.010517786256968975,0.011275212280452251,-0.0019304156303405762,-0.8309329003095627,-0.8491006046533585,-64.80886840820312,26.666666666666668,0,nan,0
14,0,14,3.3372159004211426,-1.0,1.3730191428145364,inf,inf,-79.45897674560547,0.007231513038277626,0.006911950651556253,2.3379921913146973e-05,-0.653439000248909,-0.6867054402828217,-28.023229598999023,26.666666666666668,0,nan,0
15,0,15,2.5124239921569824,-1.0,1.3378054864239473,inf,inf,-79.45897674560547,0.004679669626057148,0.004583945032209158,-0.0003075599670410156,-0.1153886616230011,-0.11952781677246094,31.438343048095703,26.666666666666668,0,nan,0
16,0,16,2.820316791534424,-1.0,1.2825352605975258,inf,inf,-79.45897674560547,0.007733636070042849,0.00985047034919262,-0.000421181321144104,-0.2445213496685028,-0.2523380368947983,-6.165688514709473,26.666666666666668,0,nan,0
17,0,17,2.3590002059936523,-1.0,1.24777363096952,inf,inf,-79.45897674560547,0.004289936739951372,0.004588565323501825,-0.00039096176624298096,-0.022103026509284973,-0.03526511788368225,41.01017761230469,26.666666666666668,0,nan,0
