step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable
0,0,0,2.446134567260742,-1.0,0.19995131768001506,inf,inf,-71.61032104492188,0.023393338546156883,0.11699517071247101,0.0011510252952575684,0.6427860061327616,0.5664065281550089,-70.66350555419922,26.666666666666668,0,nan,0
1,0,1,3.1411123275756836,-1.0,0.32607587279224826,inf,inf,-71.61032104492188,0.14059346914291382,0.09621801972389221,-0.004676302274068196,0.30966055393218994,0.3387630581855774,-605.2247924804688,26.666666666666668,0,nan,0
2,0,2,2.9413344860076904,-1.0,0.4958316711833836,inf,inf,-71.61032104492188,0.05645166337490082,0.027896184474229813,-0.0020411014556884766,-0.16445724169413248,-0.14831622441609701,-365.79443359375,26.666666666666668,0,nan,0
3,0,3,3.9751343727111816,-1.0,0.493117031286622,inf,inf,-71.61032104492188,0.016514191403985023,0.03523514047265053,0.00022558371225992838,0.14246551195780435,0.05604360500971476,-544.1725463867188,26.666666666666668,0,nan,0
4,0,4,4.630423545837402,-1.0,0.47709840616847354,inf,inf,-71.61032104492188,0.018567092716693878,0.05576862767338753,-0.0058691104253133135,-0.5439488291740417,-0.7391503850618998,-401.10174560546875,26.666666666666668,0,nan,0
5,0,5,4.820086479187012,-1.0,2.251359449277686,inf,inf,-71.61032104492188,1.2455859184265137,0.06836475431919098,-0.056183199087778725,-0.9241132140159607,-0.8351564804712931,-297.2825012207031,26.666666666666668,0,nan,0
6,0,6,3.7502877712249756,-1.0,2.3599626192462946,inf,inf,-71.61032104492188,0.030231013894081116,0.009058277122676373,-0.0012995402018229167,-0.6499226291974386,-0.7282724579175314,78.31893157958984,26.666666666666668,0,nan,0
7,0,7,2.6681103706359863,-1.0,2.5812331959039545,inf,inf,-71.61032104492188,0.015056606382131577,0.003292739624157548,-0.0014631350835164387,-0.4251206119855245,-0.42356954018274945,40.718528747558594,26.666666666666668,0,nan,0
8,0,8,3.451714038848877,-1.0,2.3794403186055706,inf,inf,-71.61032104492188,0.01737911067903042,0.030852075666189194,-0.0019214153289794922,-0.9665650924046835,-0.8989568551381429,-43.454132080078125,26.666666666666668,0,nan,0
9,0,9,2.8812320232391357,-1.0,2.1581093873315536,inf,inf,-71.61032104492188,0.001219552825205028,0.007340910378843546,-0.0003229379653930664,-0.4385528564453125,-0.482233464717865,-25.13662338256836,26.666666666666668,0,nan,0
