step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff
0,0,0,2.4264049530029297,-1.0,0.011675666962260998,inf,inf,-143.14097595214844,0.0019010162213817239,0.16281864047050476,0.00010301172733306885,0.2379552572965622,0.2657126784324646,-143.1436004638672,26.666666666666668,0,nan,0,nan
1,0,1,2.6592228412628174,-1.0,0.08787363218299228,inf,inf,-143.14097595214844,0.08081928640604019,0.10446420311927795,-0.0020769834518432617,0.8325192034244537,0.8254012316465378,-366.1647644042969,26.666666666666668,0,nan,0,nan
2,0,2,3.069481372833252,-1.0,0.11414010932975556,inf,inf,-143.14097595214844,0.051113877445459366,0.14581534266471863,-0.00416196882724762,0.6711468398571014,0.7973892241716385,-621.3866577148438,26.666666666666668,0,nan,0,nan
3,0,3,3.0414624214172363,-1.0,0.23805389615044098,inf,inf,-143.14097595214844,0.03935881331562996,0.029084056615829468,0.008313268423080444,0.9019745439291,0.9475355744361877,-313.5094909667969,26.666666666666668,0,nan,0,nan
4,0,4,3.804680824279785,-1.0,0.2158494296658265,inf,inf,-143.14097595214844,4.103702667634934e-05,0.002563335234299302,0.0003702491521835327,-0.5426191836595535,-0.5284676849842072,-282.748291015625,26.666666666666668,0,nan,0,nan
5,0,5,4.038130760192871,-1.0,0.20206084473642216,inf,inf,-143.14097595214844,3.9842161640990525e-05,0.000511035555973649,-0.00020004808902740479,0.09205426275730133,0.31818196177482605,-372.1990661621094,26.666666666666668,0,nan,0,nan
6,0,6,3.6750805377960205,-1.0,0.21181897328389812,inf,inf,-143.14097595214844,0.00014150030619930476,0.0004722310113720596,8.210539817810059e-05,-0.34323057532310486,-0.2252969741821289,-163.4473876953125,26.666666666666668,0,nan,0,nan
7,0,7,4.41756534576416,-1.0,0.29506737647977943,inf,inf,-143.14097595214844,0.0005953757790848613,0.0005701178452000022,-0.0001131594181060791,0.4127967804670334,0.6195954829454422,-126.19903564453125,26.666666666666668,0,nan,0,nan
8,0,8,6.146775245666504,-1.0,0.28535379395271315,inf,inf,-143.14097595214844,0.000126981787616387,0.0006415439420379698,0.0001246035099029541,2.714004874229431,3.2385367453098297,-142.8963165283203,26.666666666666668,0,nan,0,nan
9,0,9,3.5929043292999268,-1.0,0.2750708288031509,inf,inf,-143.14097595214844,0.00013349218352232128,0.0007313672685995698,-0.00022357702255249023,0.20603971183300018,0.1510581374168396,52.13483428955078,26.666666666666668,0,nan,0,nan
