step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used
0,0,0,2.497382640838623,-1.0,0.7353319941055361,inf,inf,-142.177490234375,0.047086287289857864,0.06403405219316483,29.420881271362305,11.669061660766602,0.0029789209365844727,0.5753832906484604,0.6440043747425079,-142.343505859375,26.666666666666668,0,nan,0,nan,0.0,nan,0
1,0,1,2.97251033782959,-1.0,0.7376816862178033,inf,inf,-142.177490234375,0.039041128009557724,0.051449183374643326,43.738765716552734,11.922584533691406,0.008573934435844421,0.3866191655397415,0.2011939138174057,-344.99578857421875,26.666666666666668,0,nan,0,nan,0.0,nan,0
2,0,2,3.6348252296447754,-1.0,0.9930488998076321,inf,inf,-142.177490234375,0.045566100627183914,0.013844181783497334,64.144775390625,12.818473815917969,-0.007172524929046631,0.3109273612499237,0.31146056950092316,-587.2810668945312,26.666666666666668,0,nan,0,nan,0.0,nan,0
3,0,3,4.1757988929748535,-1.0,1.0199276187474018,inf,inf,-142.177490234375,0.006347391754388809,0.005030282307416201,72.87337493896484,11.97676944732666,0.004840970039367676,0.18678520619869232,0.17320412397384644,-445.92535400390625,26.666666666666668,0,nan,0,nan,0.0,nan,0
4,0,4,3.810312271118164,-1.0,1.0461610764583473,inf,inf,-142.177490234375,0.007931629195809364,0.006185653153806925,50.13214111328125,11.059739112854004,0.0007048696279525757,0.8458335399627686,0.8008738905191422,-283.125244140625,26.666666666666668,0,nan,0,nan,0.0,nan,0
5,0,5,6.815323352813721,-1.0,0.9467213085572042,inf,inf,-142.177490234375,0.00029294760315679014,0.005659358110278845,244.46234130859375,12.874664306640625,0.0006739199161529541,9.004819214344025,8.783428311347961,-451.4391784667969,26.666666666666668,0,nan,0,nan,0.0,nan,0
6,0,6,6.346911430358887,-1.0,0.8723772491473664,inf,inf,-142.177490234375,0.00048725196393206716,0.0023969414178282022,125.31526947021484,11.312714576721191,0.0012035369873046875,6.323238164186478,7.158609390258789,-205.78697204589844,26.666666666666668,0,nan,0,nan,0.0,nan,0
7,0,7,7.172260284423828,-1.0,0.7858638669225735,inf,inf,-142.177490234375,1.5582763808197342e-05,0.0021512971725314856,86.9939193725586,11.198391914367676,-0.00044095516204833984,-4.662515088915825,-4.970804736018181,-70.21170043945312,26.666666666666668,0,nan,0,nan,0.0,nan,0
8,0,8,4.915220737457275,-1.0,1.0163586533434943,inf,inf,-142.177490234375,0.007236959412693977,0.0023414429742842913,27.161773681640625,9.989718437194824,0.0025128424167633057,-0.31573164463043213,-0.25711384415626526,51.65939712524414,26.666666666666668,0,nan,0,nan,0.0,nan,0
9,0,9,4.329434394836426,-1.0,1.9630239186445917,inf,inf,-142.177490234375,0.02029651775956154,0.0019361343001946807,43.9342041015625,11.39726448059082,-0.0025809556245803833,-1.4964475333690643,-1.559200644493103,-53.406707763671875,26.666666666666668,0,nan,0,nan,0.0,nan,0
