step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used
0,0,0,2.5134212970733643,-1.0,1.7877028568484357,inf,inf,-82.28760528564453,0.44670599699020386,0.24987709522247314,31.69529914855957,11.989891052246094,-0.022458046674728394,0.5435400605201721,0.5688420683145523,-120.76384735107422,26.666666666666668,0,nan,0,nan,0.0,nan,0
1,0,1,3.002899169921875,-1.0,1.8730305868194104,inf,inf,-82.28760528564453,0.6075557470321655,0.23004934191703796,39.12646484375,13.43317699432373,0.0818282961845398,0.3524983525276184,0.6757218688726425,-290.93829345703125,26.666666666666668,0,nan,0,nan,0.0,nan,0
2,0,2,3.0798723697662354,-1.0,1.7740871672185323,inf,inf,-82.28760528564453,0.1218254491686821,0.1378745436668396,34.91181564331055,12.288596153259277,0.008817136287689209,0.18085817992687225,0.22876785695552826,-325.32135009765625,26.666666666666668,0,nan,0,nan,0.0,nan,0
3,0,3,3.7991974353790283,-1.0,1.6704798250314659,inf,inf,-82.28760528564453,0.13946527242660522,0.1889738142490387,79.22581481933594,13.300213813781738,-0.044098347425460815,-0.06307917833328247,0.006465360522270203,-493.3376159667969,26.666666666666668,0,nan,0,nan,0.0,nan,0
4,0,4,3.423786163330078,-1.0,1.5090332578412649,inf,inf,-82.28760528564453,0.012607188895344734,0.2250714898109436,86.28105163574219,12.1902494430542,-0.0012634247541427612,1.1124217957258224,1.343794509768486,-362.2326354980469,26.666666666666668,0,nan,0,nan,0.0,nan,0
5,0,5,3.7893571853637695,-1.0,1.5538540451233123,inf,inf,-82.28760528564453,1.0988491773605347,0.5614275932312012,68.1865463256836,17.239545822143555,0.18947157263755798,1.5771375447511673,2.270330637693405,-332.9754943847656,26.666666666666668,0,nan,0,nan,0.0,nan,0
6,0,6,5.429316520690918,-1.0,1.4766899888981202,inf,inf,-82.28760528564453,0.22504976391792297,0.2877088785171509,58.22038269042969,18.53106689453125,-0.03520086407661438,-0.8965099155902863,-1.057308554649353,-293.8314208984375,26.666666666666668,0,nan,0,nan,0.0,nan,0
7,0,7,4.857181549072266,-1.0,1.6031330211543122,inf,inf,-82.28760528564453,0.2853676676750183,0.10410621762275696,48.284149169921875,12.904229164123535,0.011721402406692505,2.994429498910904,3.256306290626526,-108.39676666259766,26.666666666666668,0,nan,0,nan,0.0,nan,0
8,0,8,3.825228214263916,-1.0,1.8265203304578557,inf,inf,-82.28760528564453,0.3821096420288086,0.09958536177873611,37.757564544677734,9.036810874938965,-0.20051175355911255,0.17466460168361664,0.07423169910907745,49.613380432128906,26.666666666666668,0,nan,0,nan,0.0,nan,0
9,0,9,3.2022464275360107,-1.0,1.6744688707695214,inf,inf,-82.28760528564453,0.022218745201826096,0.07260891795158386,24.048118591308594,7.430197238922119,-0.009083688259124756,0.19128909707069397,0.2664141356945038,25.774965286254883,26.666666666666668,0,nan,0,nan,0.0,nan,0
