step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used
0,0,0,2.3491244316101074,-1.0,9.735406682458045,inf,inf,65.02615356445312,2.2021472454071045,0.22619982063770294,17.439739227294922,11.932075500488281,0.0340760201215744,0.20864413678646088,0.2869260758161545,65.03941345214844,26.666666666666668,0,nan,0,nan,0.0,nan,0
1,0,1,2.850886344909668,-1.0,9.546388251158918,inf,inf,65.02615356445312,1.9869601726531982,0.25327008962631226,48.00198745727539,12.222100257873535,-0.06906315684318542,0.5167766064405441,0.28336094319820404,-282.4866638183594,26.666666666666668,0,nan,0,nan,0.0,nan,0
2,0,2,2.634183168411255,-1.0,8.804047290394337,inf,inf,65.02615356445312,0.6237859725952148,0.29382583498954773,35.594635009765625,12.001734733581543,-0.07185281813144684,0.5873554199934006,0.45917633175849915,-203.5193328857422,26.666666666666668,0,nan,0,nan,0.0,nan,0
3,0,3,3.24558687210083,-1.0,9.149391212617516,inf,inf,65.02615356445312,3.1557068824768066,0.2574513852596283,58.81930160522461,12.279659271240234,0.08661973476409912,0.267021119594574,0.42497818171977997,-543.6997680664062,26.666666666666668,0,nan,0,nan,0.0,nan,0
4,0,4,3.2013137340545654,-1.0,27.68165054493521,inf,inf,65.02615356445312,51.86992645263672,0.26672184467315674,75.90385437011719,11.123332977294922,-0.27787187695503235,-0.15521031618118286,0.15189561247825623,-371.35662841796875,26.666666666666668,0,nan,0,nan,0.0,nan,0
5,0,5,3.198378801345825,-1.0,27.161045001818295,inf,inf,65.02615356445312,2.8797528743743896,0.12812799215316772,35.88124465942383,10.857645988464355,-0.15251892805099487,0.029166892170906067,0.007602274417877197,-79.96746826171875,26.666666666666668,0,nan,0,nan,0.0,nan,0
6,0,6,3.0638489723205566,-1.0,25.67021412627536,inf,inf,65.02615356445312,1.8212816715240479,0.14864285290241241,26.864978790283203,8.147785186767578,-0.10132670402526855,0.26825757324695587,0.24334867298603058,-42.6222038269043,26.666666666666668,0,nan,0,nan,0.0,nan,0
7,0,7,3.1020331382751465,-1.0,26.787877883634245,inf,inf,65.02615356445312,2.506364345550537,0.06802112609148026,34.30152130126953,7.173133850097656,-0.19054923951625824,0.03376580774784088,0.13760989904403687,83.23347473144531,26.666666666666668,0,nan,0,nan,0.0,nan,0
8,0,8,2.843327522277832,-1.0,25.798021871944336,inf,inf,65.02615356445312,1.569525122642517,0.09293004870414734,22.54584503173828,6.77729606628418,-0.12219157814979553,0.06260180473327637,0.08497597277164459,-32.60862350463867,26.666666666666668,0,nan,0,nan,0.0,nan,0
9,0,9,2.5140650272369385,-1.0,23.42983340465602,inf,inf,65.02615356445312,0.1624654233455658,0.07677452266216278,20.831378936767578,5.07033109664917,-0.015318363904953003,-0.14479684829711914,-0.19432635605335236,39.9749641418457,26.666666666666668,0,nan,0,nan,0.0,nan,0
10,0,10,2.49342942237854,-1.0,21.369055881421676,inf,inf,65.02615356445312,0.1332322061061859,0.04721100628376007,11.442567825317383,4.6767497062683105,-0.021517738699913025,-0.36541736125946045,-0.31118597090244293,-35.48093032836914,26.666666666666668,0,nan,0,nan,0.0,nan,0
11,0,11,2.804060459136963,-1.0,20.401170611555564,inf,inf,65.02615356445312,1.7498570680618286,0.14968577027320862,15.427806854248047,5.014432430267334,-0.1253942996263504,0.22917351126670837,0.09498296678066254,4.183637619018555,26.666666666666668,0,nan,0,nan,0.0,nan,0
12,0,12,2.763174057006836,-1.0,19.786990959736666,inf,inf,65.02615356445312,0.9638174176216125,0.0675918459892273,8.173786163330078,4.034561634063721,-0.053858742117881775,-0.5636502653360367,-0.451472669839859,19.957731246948242,26.666666666666668,0,nan,0,nan,0.0,nan,0
13,0,13,2.8295602798461914,-1.0,17.916956750901427,inf,inf,65.02615356445312,0.04484553635120392,0.04126957431435585,33.46575164794922,18.024534225463867,-0.0002127140760421753,0.7557015120983124,0.5998617857694626,47.10606002807617,26.666666666666668,0,nan,0,nan,0.0,nan,0
14,0,14,2.508249521255493,-1.0,16.603200480272182,inf,inf,65.02615356445312,0.1907586306333542,0.03991272300481796,18.016788482666016,3.2283780574798584,-0.010770067572593689,-0.08930422365665436,-0.05340893566608429,-35.79034423828125,26.666666666666668,0,nan,0,nan,0.0,nan,0
15,0,15,2.4696879386901855,-1.0,15.018669069208277,inf,inf,65.02615356445312,0.032400377094745636,0.042750969529151917,3.7151987552642822,3.1192057132720947,-0.004083842039108276,0.11398549377918243,0.03470368683338165,82.47341918945312,26.666666666666668,0,nan,0,nan,0.0,nan,0
