step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used
0,0,0,2.4198694229125977,-1.0,0.09412747727471196,inf,inf,0.0,2.2179980874170724e-07,2.3563768536405405e-06,42.626014709472656,37.01021194458008,7.152557373046875e-07,5.830123066902161,5.34562349319458,nan,nan,0,nan,0,nan,0.0,nan,0
1,0,1,2.8137705326080322,-1.0,0.4297253754843483,inf,inf,0.0,2.4024793674470857e-05,6.963493433431722e-06,119.13774108886719,38.139892578125,3.0994415283203125e-06,4.881133079528809,6.177198052406311,nan,nan,0,nan,0,nan,0.0,nan,0
2,0,2,6.146075248718262,-1.0,2.481173174719352,inf,inf,0.0,1.0278246008965652e-05,4.90744184844516e-07,310.6191711425781,57.87593078613281,-4.5299530029296875e-06,3.371083974838257,3.4571099281311035,nan,nan,0,nan,0,nan,0.0,nan,0
3,0,3,8.077079772949219,-1.0,2.4538932910410507,inf,inf,0.0,1.4648805517936125e-05,6.633298198721604e-06,180.28591918945312,93.40419006347656,-4.0531158447265625e-06,1.450857162475586,2.3954029083251953,nan,nan,0,nan,0,nan,0.0,nan,0
