step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used,gamma_ok
0,0,0,4.634561061859131,-1.0,0.029881773304074453,inf,inf,-43.9825439453125,0.0006923861219547689,0.023170851171016693,13.08975601196289,12.902629852294922,-0.00032824277877807617,-0.02429133653640747,-0.04662865400314331,-44.01874542236328,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
1,0,1,4.670581817626953,-1.0,0.04360539930366184,inf,inf,-43.9825439453125,0.0075829061679542065,0.0453745536506176,14.02077865600586,12.833747863769531,-0.0012401938438415527,0.024825215339660645,0.03621840476989746,-51.95782470703125,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
2,0,2,4.650044918060303,-1.0,0.17637027413426307,inf,inf,-43.9825439453125,0.090352363884449,0.06589031219482422,15.678366661071777,12.558842658996582,0.03369086980819702,-0.14964741468429565,-0.16695135831832886,-78.90492248535156,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
3,0,3,4.684835433959961,-1.0,0.1607610663198353,inf,inf,-43.9825439453125,0.0001749237417243421,0.008626198396086693,13.335262298583984,11.43387222290039,-0.0005928874015808105,-0.12231731414794922,-0.12616050243377686,-69.9317626953125,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
4,0,4,4.879302024841309,-1.0,0.4483663361884632,inf,inf,-43.9825439453125,0.008340477012097836,0.0027464565355330706,16.75474739074707,11.47940444946289,-0.0068073272705078125,-0.3022332191467285,-0.30461663007736206,-93.8795166015625,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
5,0,5,4.861913204193115,-1.0,0.6456805284552607,inf,inf,-43.9825439453125,0.013842146843671799,0.005716332700103521,13.020437240600586,10.779422760009766,0.0020056962966918945,-0.1816272735595703,-0.1703076958656311,-74.12828826904297,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
6,0,6,4.785842418670654,-1.0,0.9210494868282686,inf,inf,-43.9825439453125,0.012894585728645325,0.0037932279519736767,12.077001571655273,10.582969665527344,-0.0023398995399475098,-0.11528652906417847,-0.12119901180267334,-41.657203674316406,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
7,0,7,4.66673469543457,-1.0,0.8314949497147656,inf,inf,-43.9825439453125,6.660056533291936e-05,0.0026113654021173716,11.500825881958008,9.718673706054688,-8.302927017211914e-05,0.09810078144073486,0.11775010824203491,57.853485107421875,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
8,0,8,4.855191707611084,-1.0,0.8279356467362251,inf,inf,-43.9825439453125,0.002070108661428094,0.002600959502160549,12.066105842590332,9.031721115112305,-0.0006654858589172363,-0.37915945053100586,-0.33698636293411255,64.90391540527344,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
9,0,9,5.007705211639404,-1.0,0.8061294004390053,inf,inf,-43.9825439453125,0.0005160874570719898,0.0008462209370918572,19.42465591430664,8.50117301940918,-0.00015872716903686523,-0.32388734817504883,-0.2360677719116211,77.91142272949219,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
10,0,10,5.061440467834473,-1.0,1.2839030201278279,inf,inf,-43.9825439453125,0.000790923775639385,0.00014164448657538742,12.897869110107422,8.075896263122559,6.276369094848633e-05,-0.05940210819244385,-0.03242969512939453,-33.002845764160156,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
11,0,11,4.870003700256348,-1.0,1.352943230434523,inf,inf,-43.9825439453125,0.000646308355499059,0.00032735991408117115,8.8953857421875,6.390206336975098,-0.0001818537712097168,0.06727474927902222,0.21633189916610718,70.93889617919922,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
12,0,12,4.855230331420898,-1.0,1.2176520384990006,inf,inf,-43.9825439453125,3.116702229633006e-09,9.953991684596986e-05,11.453251838684082,7.414100646972656,8.702278137207031e-06,-0.28053539991378784,-0.09122836589813232,-17.66730499267578,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
13,0,13,4.813418388366699,-1.0,1.2446359950775134,inf,inf,-43.9825439453125,0.00026371784042567015,0.00017729030514601618,14.813469886779785,6.102472305297852,-0.00010526180267333984,-0.20703142881393433,-0.13774925470352173,60.09248733520508,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
14,0,14,4.867964267730713,-1.0,1.126929155555971,inf,inf,-43.9825439453125,1.2085815797036048e-05,0.00017886998830363154,12.356639862060547,5.611945152282715,2.2172927856445312e-05,-0.3149561882019043,-0.24594706296920776,50.4108772277832,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
15,0,15,4.704710960388184,-1.0,1.665936072956946,inf,inf,-43.9825439453125,0.0014932315098121762,0.00022912872373126447,7.1477861404418945,5.041348457336426,0.00017791986465454102,-0.16193050146102905,-0.18117433786392212,69.32232666015625,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
16,0,16,5.150376319885254,-1.0,1.810959362903664,inf,inf,-43.9825439453125,0.0005788840353488922,0.00018576785805635154,10.344715118408203,5.279287815093994,-0.0003063082695007324,-0.36331087350845337,-0.3138121962547302,42.59003829956055,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
17,0,17,4.962485313415527,-1.0,1.7879264772742962,inf,inf,-43.9825439453125,0.001231739530339837,0.0007792710093781352,7.2378315925598145,5.975376129150391,-0.0012546777725219727,-0.2987540364265442,-0.2390131950378418,-27.474857330322266,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
18,0,18,5.462677001953125,-1.0,2.1771145341113654,inf,inf,-43.9825439453125,0.008618546649813652,0.001517401309683919,12.111005783081055,5.796031951904297,0.0013561248779296875,0.14367389678955078,0.041455864906311035,-61.43014907836914,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
19,0,19,4.907740592956543,-1.0,2.0752901934172026,inf,inf,-43.9825439453125,0.00024635804584249854,0.00021258450578898191,6.057944297790527,4.9591875076293945,-0.000661015510559082,-0.24979043006896973,-0.22455328702926636,-26.662872314453125,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
20,0,20,4.926091194152832,-1.0,1.9258114711984293,inf,inf,-43.9825439453125,0.00010060507338494062,0.00017330673290416598,7.048977851867676,4.724289894104004,-7.700920104980469e-05,-0.11290329694747925,-0.12103766202926636,-28.970779418945312,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
21,0,21,4.836284637451172,-1.0,2.0025603474909874,inf,inf,-43.9825439453125,0.0005537469405680895,0.00020560163829941303,5.450275421142578,4.552127838134766,3.337860107421875e-06,-0.13695436716079712,-0.11234432458877563,-23.381446838378906,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
22,0,22,4.514074325561523,-1.0,1.8034773140676699,inf,inf,-43.9825439453125,2.0652769308071584e-06,0.00017606774054002017,3.8728108406066895,3.687330722808838,-1.0132789611816406e-06,-0.09930729866027832,-0.05812710523605347,20.1673526763916,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
