step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable
0,0,0,2.390139579772949,-1.0,0.22772521691408676,inf,inf,-79.4603042602539,0.027849366888403893,0.12229373306035995,-0.0018614133199055989,0.06487794717152913,0.03246901432673136,-79.51156616210938,26.666666666666668,0,nan,0
1,0,1,2.5540213584899902,-1.0,0.2171176900804181,inf,inf,-79.4603042602539,0.008218013681471348,0.06755460053682327,-0.0009159247080485026,0.21056191126505533,0.21335031588872275,-165.06338500976562,26.666666666666668,0,nan,0
2,0,2,2.5438528060913086,-1.0,0.1985224946359576,inf,inf,-79.4603042602539,0.001604561461135745,0.05148479342460632,0.00023704767227172852,0.2624247868855794,0.2816651463508606,-153.75466918945312,26.666666666666668,0,nan,0
3,0,3,2.70219087600708,-1.0,0.5113639260725602,inf,inf,-79.4603042602539,0.04575637727975845,0.013753305189311504,-0.0014843344688415527,0.5016176303227743,0.45390546321868896,-135.7882080078125,26.666666666666668,0,nan,0
4,0,4,3.1182961463928223,-1.0,0.4689492756300442,inf,inf,-79.4603042602539,0.0026238998398184776,0.030084583908319473,-0.0004280209541320801,0.2901829282442729,0.44954536358515423,-316.24658203125,26.666666666666668,0,nan,0
5,0,5,4.00031852722168,-1.0,0.5899210529431824,inf,inf,-79.4603042602539,0.03934486582875252,0.023438159376382828,-0.0026003519694010415,-0.45014917850494385,-0.5896616578102112,-539.1422119140625,26.666666666666668,0,nan,0
6,0,6,4.164952278137207,-1.0,0.5357440528391182,inf,inf,-79.4603042602539,0.0006935566198080778,0.014403768815100193,-0.000244140625,-0.5892549355824789,-0.5974964698155721,-249.8826904296875,26.666666666666668,0,nan,0
7,0,7,5.271942138671875,-1.0,0.48218121985172624,inf,inf,-79.4603042602539,7.135668056434952e-06,0.06166164204478264,-8.225440979003906e-06,-0.3156367937723796,-0.31062130133310956,-341.36737060546875,26.666666666666668,0,nan,0
8,0,8,6.16513204574585,-1.0,0.5272395363852213,inf,inf,-79.4603042602539,0.030100326985120773,0.03227002173662186,-0.0032764673233032227,-1.9079409837722778,-1.720563034216563,-285.8814392089844,26.666666666666668,0,nan,0
9,0,9,5.598036289215088,-1.0,1.0781455352470846,inf,inf,-79.4603042602539,0.1365751177072525,0.0226256363093853,-0.001370092233022054,-1.4666218757629395,-1.4342936078707378,-106.0797348022461,26.666666666666668,0,nan,0
10,0,10,4.802345275878906,-1.0,0.9704462263286211,inf,inf,-79.4603042602539,1.0473399015609175e-05,0.009087973274290562,6.159146626790364e-06,-1.3316407601038616,-1.2950780987739563,-86.37338256835938,26.666666666666668,0,nan,0
11,0,11,3.6545870304107666,-1.0,1.0042958115690521,inf,inf,-79.4603042602539,0.011061223223805428,0.008450506255030632,0.00012344121932983398,-1.0351347128550212,-0.97753377755483,27.706174850463867,26.666666666666668,0,nan,0
12,0,12,3.17867374420166,-1.0,0.9181614866554065,inf,inf,-79.4603042602539,0.0007776571437716484,0.0054399664513766766,8.28107198079427e-05,-0.5884881019592285,-0.6246493260065714,23.914302825927734,26.666666666666668,0,nan,0
13,0,13,3.5721237659454346,-1.0,1.0230581591261227,inf,inf,-79.4603042602539,0.019982485100626945,0.010158201679587364,-0.0018096367518107097,-0.6770529945691427,-0.7303219040234884,-42.70939636230469,26.666666666666668,0,nan,0
14,0,14,3.112248659133911,-1.0,1.0188404087537193,inf,inf,-79.4603042602539,0.0009156320011243224,0.000933479517698288,3.8007895151774086e-05,-0.5069475173950195,-0.5421785513559977,34.07665252685547,26.666666666666668,0,nan,0
15,0,15,2.4118175506591797,-1.0,1.0395137566247585,inf,inf,-79.4603042602539,0.001161750522442162,0.000947923690546304,-4.353125890096029e-05,-0.05855447053909302,-0.054380436738332115,31.077659606933594,26.666666666666668,0,nan,0
16,0,16,2.9088900089263916,-1.0,1.1938978353833156,inf,inf,-79.4603042602539,0.003148846561089158,0.001218898338265717,-0.0001331965128580729,-0.2257267435391744,-0.22906033198038736,-15.521034240722656,26.666666666666668,0,nan,0
17,0,17,2.3964600563049316,-1.0,1.0917769734703586,inf,inf,-79.4603042602539,0.00023023923859000206,0.0013332577655091882,-1.69674555460612e-05,-0.0024054845174153647,-0.005938013394673665,47.707881927490234,26.666666666666668,0,nan,0
18,0,18,2.4453840255737305,-1.0,1.2193247800938167,inf,inf,-79.4603042602539,0.0022403919138014317,0.0009464091854169965,-0.00012842814127604166,-0.09882233540217082,-0.10081698497136433,7.465186595916748,26.666666666666668,0,nan,0
19,0,19,2.8658785820007324,-1.0,1.0989381445594677,inf,inf,-79.4603042602539,4.8280551709467545e-05,0.003123251721262932,8.58306884765625e-06,-0.18506320317586264,-0.18807866175969443,17.804706573486328,26.666666666666668,0,nan,0
20,0,20,2.338409185409546,-1.0,1.0046254386736828,inf,inf,-79.4603042602539,0.0008497144444845617,0.00545349158346653,-2.173582712809245e-05,-0.03717350959777832,-0.040455162525177,7.231197357177734,26.666666666666668,0,nan,0
21,0,21,2.4840922355651855,-1.0,0.9055358394968331,inf,inf,-79.4603042602539,7.823191117495298e-05,0.005698110908269882,-3.8405259450276695e-05,-0.06292301416397095,-0.06696353356043498,6.6724653244018555,26.666666666666668,0,nan,0
22,0,22,2.351722478866577,-1.0,0.8204912956328773,inf,inf,-79.4603042602539,0.0012649678392335773,0.022961674258112907,-0.0002608299255371094,-0.08565320571263631,-0.0691407322883606,18.650434494018555,26.666666666666668,0,nan,0
23,0,23,2.4671168327331543,-1.0,1.403563642233429,inf,inf,-79.4603042602539,0.04558054730296135,0.006852965801954269,-0.0025858283042907715,-0.1140390435854594,-0.11501429478327434,42.740535736083984,26.666666666666668,0,nan,0
24,0,24,2.33424711227417,-1.0,1.263360834855969,inf,inf,-79.4603042602539,1.1229419669689378e-06,0.0007312874658964574,-6.556510925292969e-07,-0.06062928835550944,-0.07336527109146118,22.503313064575195,26.666666666666668,0,nan,0
25,0,25,2.295297384262085,-1.0,1.2675035258203513,inf,inf,-79.4603042602539,0.0006174598820507526,0.00047322630416601896,-8.60293706258138e-06,-0.06716165939966838,-0.0686899224917094,-14.635360717773438,26.666666666666668,0,nan,0
26,0,26,2.5297069549560547,-1.0,1.167455415832037,inf,inf,-79.4603042602539,0.0001233630464412272,0.0004619950777851045,-1.430511474609375e-06,-0.1334435741106669,-0.15457131465276083,15.888206481933594,26.666666666666668,0,nan,0
27,0,27,2.3049967288970947,-1.0,1.2234245714949017,inf,inf,-79.4603042602539,0.0001870957639766857,0.0001083264869521372,-6.1194101969401044e-06,-0.10797011852264404,-0.10924806197484334,12.388473510742188,26.666666666666668,0,nan,0
28,0,28,2.2527339458465576,-1.0,1.3394647371258086,inf,inf,-79.4603042602539,0.0001335745328105986,5.603367026196793e-05,-2.0464261372884116e-06,-0.03488908211390177,-0.04053048292795817,20.903667449951172,26.666666666666668,0,nan,0
29,0,29,2.069194793701172,-1.0,1.264692728018301,inf,inf,-79.4603042602539,0.00011660247400868684,0.00019704863370861858,3.0199686686197915e-06,-0.02164194981257121,-0.019149641195933025,7.965307235717773,26.666666666666668,0,nan,0
30,0,30,2.2693254947662354,-1.0,1.3251427189882616,inf,inf,-79.4603042602539,0.0003600119089242071,0.00019260289263911545,-5.5034955342610674e-06,-0.07354950904846191,-0.0768636663754781,14.257080078125,26.666666666666668,0,nan,0
31,0,31,2.3777248859405518,-1.0,1.1967314763833043,inf,inf,-79.4603042602539,1.0296485925209709e-05,0.00025094838929362595,-1.5099843343098958e-06,-0.10385032494862874,-0.09795149167378743,33.740257263183594,26.666666666666668,0,nan,0
32,0,32,2.4100687503814697,-1.0,1.4402508717261748,inf,inf,-79.4603042602539,0.000543433940038085,0.00014962695422582328,-2.0265579223632812e-06,-0.06554279724756877,-0.06316091616948445,-14.08621597290039,26.666666666666668,0,nan,0
33,0,33,2.1097021102905273,-1.0,1.366020692305869,inf,inf,-79.4603042602539,7.578587246825919e-05,0.00010858367022592574,-2.463658650716146e-06,-0.015534579753875732,-0.029207706451416016,-27.61457061767578,26.666666666666668,0,nan,0
34,0,34,2.135809898376465,-1.0,1.282964780083821,inf,inf,-79.4603042602539,9.83309728326276e-05,0.00018363777780905366,-3.5762786865234375e-06,-0.023199220498402912,-0.035312543312708534,-20.03557586669922,26.666666666666668,0,nan,0
35,0,35,2.1065311431884766,-1.0,1.4282379496480293,inf,inf,-79.4603042602539,0.00039849564200267196,0.00014566515164915472,-1.3629595438639322e-05,-0.021161953608194988,-0.02248537540435791,13.014728546142578,26.666666666666668,0,nan,0
36,0,36,2.0805089473724365,-1.0,1.3216601151208245,inf,inf,-79.4603042602539,3.149444819428027e-05,8.689091919222847e-05,5.960464477539063e-08,-0.031029999256134033,-0.04011034965515137,17.329238891601562,26.666666666666668,0,nan,0
37,0,37,2.056112289428711,-1.0,1.446525615169664,inf,inf,-79.4603042602539,0.0002393561153439805,9.31232571019791e-05,-3.1789143880208335e-06,-0.02018694082895915,-0.024379889170328777,10.599068641662598,26.666666666666668,0,nan,0
38,0,38,2.121742010116577,-1.0,1.4098675544246162,inf,inf,-79.4603042602539,4.788114165421575e-05,4.4336647988529876e-05,-2.9007593790690103e-06,-0.0656365950902303,-0.0654015839099884,5.672175407409668,26.666666666666668,0,nan,0
39,0,39,2.1584014892578125,-1.0,2.3262136545882908,inf,inf,-79.4603042602539,0.0005640540621243417,5.3346877393778414e-05,-7.599592208862305e-06,-0.05692008137702942,-0.054630547761917114,3.1759209632873535,26.666666666666668,0,nan,0
40,0,40,2.219968318939209,-1.0,3.4799583335504733,0.5605392124216168,0.5605392124216168,9.578556060791016,0.10456743091344833,0.007542555686086416,-0.0014835000038146973,-0.03338162104288737,-0.03629030783971151,9.590475082397461,26.666666666666668,0,nan,1
41,0,41,2.065951347351074,-1.0,3.1674148049559934,0.5605392124216168,0.5605392124216168,9.578556060791016,0.0013330852380022407,0.0037602216470986605,-3.286202748616537e-05,-0.010298808415730795,-0.010795831680297852,7.197774410247803,26.666666666666668,0,nan,1
42,0,42,2.0279059410095215,-1.0,3.1439685521884275,0.5605392124216168,0.5605392124216168,9.578556060791016,0.007427555043250322,0.0025324500165879726,-0.00037534038225809735,-0.014748205741246542,-0.012555132309595743,3.427927017211914,26.666666666666668,0,nan,1
43,0,43,1.9904100894927979,-1.0,2.863585290649783,0.5605392124216168,0.5605392124216168,9.578556060791016,0.0008450673194602132,0.002484498778358102,-3.6607185999552407e-05,-0.025931944449742634,-0.025135586659113567,8.892204284667969,26.666666666666668,0,nan,1
44,0,44,2.2490739822387695,-1.0,2.790205647602705,0.5605392124216168,0.5605392124216168,9.578556060791016,0.0031827690545469522,0.0014944059075787663,-9.383757909138997e-05,-0.0545503298441569,-0.05283445119857788,10.188301086425781,26.666666666666668,0,nan,1
45,0,45,2.1876959800720215,-1.0,2.5222898739322512,0.5605392124216168,0.5605392124216168,9.578556060791016,0.00022629326849710196,0.0020377985201776028,-2.173582712809245e-05,-0.03280460834503174,-0.03370435039202372,-7.4785003662109375,26.666666666666668,0,nan,1
46,0,46,1.998809576034546,-1.0,2.750624672180235,0.5605392124216168,0.5605392124216168,9.578556060791016,0.007615221664309502,0.0015846432652324438,-0.00037983059883117676,-0.019214133421579998,-0.01707381010055542,8.975154876708984,26.666666666666668,0,nan,1
47,0,47,1.9234600067138672,-1.0,2.4793049639913556,0.5605392124216168,0.5605392124216168,9.578556060791016,7.713263767072931e-05,0.0020608496852219105,-1.9997358322143555e-05,-0.016962726910909016,-0.015244603157043457,10.375289916992188,26.666666666666668,0,nan,1
48,0,48,2.111748695373535,-1.0,2.2518248311121902,0.5605392124216168,0.5605392124216168,9.578556060791016,0.00014872067549731582,0.000727227539755404,1.331170399983724e-05,-0.038577258586883545,-0.03787106275558472,10.758220672607422,26.666666666666668,0,nan,1
49,0,49,1.9794868230819702,-1.0,2.0278968120688745,0.5605392124216168,0.5605392124216168,9.578556060791016,2.5202991309924982e-05,0.0020090644247829914,8.016824722290039e-06,-0.02987636129061381,-0.028083811203638714,10.748668670654297,26.666666666666668,0,nan,1
50,0,50,2.17390513420105,-1.0,1.8528988348985032,0.5605392124216168,0.5605392124216168,9.578556060791016,0.0003165842790622264,0.0011391323059797287,-1.4096498489379883e-05,-0.03364256024360657,-0.03531560301780701,4.736766815185547,26.666666666666668,0,nan,1
51,0,51,2.102814197540283,-1.0,2.351631868930562,0.5605392124216168,0.5605392124216168,9.578556060791016,0.01338441576808691,0.001956720370799303,-0.0003465513388315837,-0.021866987148920696,-0.020492146412531536,4.4296135902404785,26.666666666666668,0,nan,1
52,0,52,1.9561254978179932,-1.0,2.162947754532758,0.5605392124216168,0.5605392124216168,9.578556060791016,0.0003941361210308969,0.0008479862008243799,4.7425429026285805e-05,-0.02534388502438863,-0.025872985521952312,8.338470458984375,26.666666666666668,0,nan,1
53,0,53,1.9940425157546997,-1.0,1.972543489259776,0.5605392124216168,0.5605392124216168,9.578556060791016,0.0004951873561367393,0.0019126210827380419,2.422928810119629e-05,-0.012626727422078451,-0.01659428079922994,8.728167533874512,26.666666666666668,0,nan,1
54,0,54,1.901670217514038,-1.0,1.7886888495624504,0.5605392124216168,0.5605392124216168,9.578556060791016,0.0002265074144816026,0.001690390519797802,1.6997257868448894e-05,-0.009004612763722738,-0.007342000802357991,4.8868632316589355,26.666666666666668,0,nan,1
55,0,55,1.9291772842407227,-1.0,1.7008790069838142,0.5605392124216168,0.5605392124216168,9.578556060791016,0.0019904214423149824,0.0021858580876141787,-0.0001233816146850586,-0.014185925324757894,-0.01323661208152771,4.3957695960998535,26.666666666666668,0,nan,1
