step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used,gamma_ok
0,0,0,4.736950874328613,-1.0,3.9547318918707086,inf,inf,-117.9268798828125,0.37744176387786865,0.09544054418802261,14.949365615844727,14.137630462646484,0.004593789577484131,-0.04488950967788696,-0.05278205871582031,-117.9407958984375,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
1,0,1,4.700300216674805,-1.0,3.967771296395538,inf,inf,-117.9268798828125,0.04686141759157181,0.01147122960537672,14.381156921386719,13.490577697753906,-0.0023120641708374023,-0.07664501667022705,-0.07441592216491699,-81.69111633300781,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
2,0,2,4.709207057952881,-1.0,3.672951589755831,inf,inf,-117.9268798828125,0.004580564331263304,0.0044926246628165245,14.093498229980469,13.303946495056152,0.0009902119636535645,-0.06766456365585327,-0.08239662647247314,-73.13040161132812,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
3,0,3,4.854130744934082,-1.0,3.3364509380245,inf,inf,-117.9268798828125,0.0019285226007923484,0.006262553855776787,15.609915733337402,12.87553596496582,-0.001244962215423584,-0.13854330778121948,-0.12337124347686768,-126.65635681152344,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
4,0,4,4.73701286315918,-1.0,3.0287198776033812,inf,inf,-117.9268798828125,0.00045203420449979603,0.001744360662996769,13.111305236816406,11.768131256103516,0.0007652044296264648,-0.1756429672241211,-0.1452639102935791,-71.19017028808594,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
5,0,5,4.722567558288574,-1.0,2.876491394327682,inf,inf,-117.9268798828125,0.0023856437765061855,0.0015836353413760662,13.90837574005127,11.424837112426758,0.0012090206146240234,-0.09609586000442505,-0.08398991823196411,-73.98283386230469,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
6,0,6,4.883449554443359,-1.0,2.6176300787961755,inf,inf,-117.9268798828125,0.00011240479943808168,0.0003904595214407891,14.148666381835938,10.894487380981445,-0.000774085521697998,-0.21388554573059082,-0.18754428625106812,-74.4254150390625,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
7,0,7,4.9845428466796875,-1.0,2.373287132856437,inf,inf,-117.9268798828125,0.000144711128086783,0.0008307153475470841,14.11108684539795,10.242095947265625,-0.0005335807800292969,-0.25434374809265137,-0.3112654685974121,-74.57207489013672,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
8,0,8,4.807792663574219,-1.0,2.1836006849597736,inf,inf,-117.9268798828125,0.00021363234554883093,0.0004484092933125794,12.430559158325195,10.073101997375488,-0.0003352165222167969,-0.14534413814544678,-0.1331958770751953,-46.64934539794922,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
9,0,9,4.905315399169922,-1.0,1.9652407097823694,inf,inf,-117.9268798828125,5.767913369147948e-10,0.0006180884665809572,11.764457702636719,9.669448852539062,2.1338462829589844e-05,-0.06500029563903809,-0.06450963020324707,1.425699234008789,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
10,0,10,5.059453964233398,-1.0,1.777584267972368,inf,inf,-117.9268798828125,2.5168381398543715e-05,0.00028382311575114727,15.547041893005371,8.439253807067871,5.4001808166503906e-05,-0.5206146836280823,-0.35869675874710083,103.50152587890625,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
11,0,11,4.712906837463379,-1.0,1.6023596312777828,inf,inf,-117.9268798828125,5.692221520803287e-07,2.2465244910563342e-05,12.879520416259766,7.468692779541016,2.86102294921875e-06,-0.19766223430633545,-0.25086575746536255,78.81365203857422,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
12,0,12,4.810781002044678,-1.0,1.7352155684476471,inf,inf,-117.9268798828125,0.0009091448155231774,0.0003101910406257957,12.047567367553711,7.101857662200928,-0.0002345442771911621,0.02332019805908203,0.0823630690574646,-1.0737385749816895,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
13,0,13,4.864752769470215,-1.0,1.5617278881636913,inf,inf,-117.9268798828125,8.093783776530472e-08,0.0002389198780292645,13.67932415008545,6.951067924499512,-1.4901161193847656e-06,-0.017743945121765137,-0.07166510820388794,60.8240852355957,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
14,0,14,5.3817338943481445,-1.0,1.59560832045891,inf,inf,-117.9268798828125,0.00023184472229331732,0.00012198936747154221,25.057884216308594,6.811126708984375,-0.00014460086822509766,-0.38963305950164795,-0.3674706816673279,35.41593551635742,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
15,0,15,4.9205780029296875,-1.0,1.4366063159161457,inf,inf,-117.9268798828125,1.6158587357040233e-07,2.891516123781912e-05,13.01356029510498,5.872457027435303,-7.68899917602539e-06,-0.24148589372634888,-0.15388768911361694,32.62638854980469,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
16,0,16,5.316035270690918,-1.0,1.457941545401693,inf,inf,-117.9268798828125,0.00017423424287699163,0.00010559915972407907,17.92182159423828,6.712490081787109,5.155801773071289e-05,-0.5567919611930847,-0.3791828155517578,41.360877990722656,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
17,0,17,4.983572006225586,-1.0,1.3142824915480722,inf,inf,-117.9268798828125,8.376602522730536e-07,3.9232822018675506e-05,10.489216804504395,5.207302093505859,-8.52346420288086e-06,-0.17499959468841553,-0.16054624319076538,34.66463088989258,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
18,0,18,4.957962989807129,-1.0,1.3749187311365445,inf,inf,-117.9268798828125,9.754668280947953e-05,5.078850517747924e-05,9.872869491577148,4.8726277351379395,-2.6881694793701172e-05,-0.11363059282302856,-0.16124969720840454,22.73969078063965,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
19,0,19,5.111019134521484,-1.0,1.5970764286441885,inf,inf,-117.9268798828125,3.426638795644976e-05,9.527715519652702e-06,9.410699844360352,4.527525901794434,3.826618194580078e-05,-0.3538990616798401,-0.3577418923377991,-23.03172492980957,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
20,0,20,4.813733100891113,-1.0,1.4857017938711814,inf,inf,-117.9268798828125,1.718291787256021e-05,3.555110379238613e-05,5.544889450073242,4.121969699859619,8.404254913330078e-06,-0.04396545886993408,-0.04363512992858887,24.970903396606445,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
21,0,21,4.838014602661133,-1.0,1.3451747424380998,inf,inf,-117.9268798828125,6.719533303112257e-06,8.354378223884851e-05,6.071531772613525,3.9030158519744873,2.0742416381835938e-05,-0.2612171173095703,-0.30393916368484497,14.113512992858887,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
22,0,22,5.031554222106934,-1.0,1.3152676626520146,inf,inf,-117.9268798828125,1.9933702787966467e-05,1.905518365674652e-05,7.412479400634766,3.4223599433898926,-1.2099742889404297e-05,-0.14645063877105713,-0.15265268087387085,19.237459182739258,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
23,0,23,4.690615177154541,-1.0,1.197305188852384,inf,inf,-117.9268798828125,4.244044703227701e-06,3.128836033283733e-05,7.084938049316406,3.0702905654907227,-7.152557373046875e-06,-0.1174890398979187,-0.132524311542511,-16.494009017944336,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
24,0,24,4.712684631347656,-1.0,1.2583850001712216,inf,inf,-117.9268798828125,7.829068636056036e-05,4.329989678808488e-05,3.279759645462036,2.772890567779541,1.5974044799804688e-05,0.020955264568328857,-0.018691420555114746,18.34181785583496,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
25,0,25,4.641168594360352,-1.0,1.135985792174146,inf,inf,-117.9268798828125,3.829029822099983e-07,1.1133191947010346e-05,4.344059944152832,2.3542141914367676,1.0728836059570312e-06,-0.1326519250869751,-0.11946433782577515,-19.015867233276367,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
26,0,26,4.799228668212891,-1.0,1.2332077808607071,inf,inf,-117.9268798828125,4.880761480308138e-05,2.3151258574216627e-05,4.006782531738281,2.143156051635742,-2.6226043701171875e-05,-0.07585263252258301,-0.03614324331283569,-10.512282371520996,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
