step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff
0,0,0,2.4404616355895996,-1.0,0.08005034203703262,inf,inf,-72.83048248291016,0.003788305213674903,0.047324035316705704,0.0006489604711532593,0.6529745757579803,0.6184622496366501,-72.86097717285156,26.666666666666668,0,nan,0,nan
1,0,1,3.0912725925445557,-1.0,0.07528090923763858,inf,inf,-72.83048248291016,0.00274499598890543,0.08483727276325226,-0.0034753233194351196,0.20094642043113708,0.251684308052063,-381.89862060546875,26.666666666666668,0,nan,0,nan
2,0,2,3.0656018257141113,-1.0,0.12233836971134088,inf,inf,-72.83048248291016,0.010669756680727005,0.01954685151576996,0.007492825388908386,-0.37886951863765717,-0.40689602494239807,-320.251220703125,26.666666666666668,0,nan,0,nan
3,0,3,4.058655738830566,-1.0,0.14942432645881404,inf,inf,-72.83048248291016,0.005566723644733429,0.014157560653984547,-0.0009697675704956055,-0.16291460394859314,-0.2092793881893158,-362.03631591796875,26.666666666666668,0,nan,0,nan
4,0,4,4.374537467956543,-1.0,0.13818851933904144,inf,inf,-72.83048248291016,0.0011934716021642089,0.032198332250118256,-0.0009779930114746094,1.458697885274887,1.9360169172286987,-470.0443115234375,26.666666666666668,0,nan,0,nan
5,0,5,5.723153591156006,-1.0,1.029358703802456,inf,inf,-72.83048248291016,0.11714348196983337,0.012944187968969345,-0.0026640594005584717,5.134665250778198,5.425395488739014,-456.7119445800781,26.666666666666668,0,nan,0,nan
6,0,6,5.885292053222656,-1.0,1.2760277654748642,inf,inf,-72.83048248291016,0.29763656854629517,0.08513511717319489,0.0026958584785461426,1.1783188879489899,1.2127960920333862,-170.82920837402344,26.666666666666668,0,nan,0,nan
7,0,7,8.023188591003418,-1.0,1.1502741270806325,inf,inf,-72.83048248291016,0.006696830969303846,0.3621595799922943,0.004483342170715332,1.4460412859916687,1.034072458744049,-125.86517333984375,26.666666666666668,0,nan,0,nan
8,0,8,5.000506401062012,-1.0,1.2973561247362635,inf,inf,-72.83048248291016,0.21269243955612183,0.08114643394947052,-0.04152843356132507,-0.6025417447090149,-0.5143447071313858,-103.31280517578125,26.666666666666668,0,nan,0,nan
9,0,9,3.165494441986084,-1.0,1.1699943556253056,inf,inf,-72.83048248291016,0.002973511815071106,0.12526150047779083,-6.341934204101562e-05,-0.36256371438503265,-0.3071594387292862,82.83434295654297,26.666666666666668,0,nan,0,nan
10,0,10,5.626194477081299,-1.0,1.0562847465398801,inf,inf,-72.83048248291016,0.0007118286448530853,0.021637270227074623,-0.001284763216972351,-1.3613273203372955,-1.5133264660835266,-113.7586669921875,26.666666666666668,0,nan,0,nan
11,0,11,3.9814586639404297,-1.0,0.9507907815247447,inf,inf,-72.83048248291016,4.56836169178132e-05,0.03396308049559593,-0.00010217726230621338,32.34361918270588,31.079557582736015,-42.92566680908203,26.666666666666668,0,nan,0,nan
12,0,12,3.1883955001831055,-1.0,0.8706554921486132,inf,inf,-72.83048248291016,0.07240719348192215,0.48453035950660706,-0.08883333206176758,-0.3726722002029419,0.6473100334405899,68.01243591308594,26.666666666666668,0,nan,0,nan
13,0,13,4.241846084594727,-1.0,0.787422591672769,inf,inf,-72.83048248291016,0.001243758830241859,0.032451678067445755,-0.001103922724723816,-0.0007781237363815308,0.09757965803146362,-106.92959594726562,26.666666666666668,0,nan,0,nan
14,0,14,4.371973991394043,-1.0,0.7169604558792009,inf,inf,-72.83048248291016,0.0007380770402960479,0.008913841098546982,0.0002887845039367676,0.07936689257621765,0.15412132441997528,71.90882873535156,26.666666666666668,0,nan,0,nan
15,0,15,3.298631191253662,-1.0,0.6463072440435901,inf,inf,-72.83048248291016,2.7663720175041817e-05,0.002652744995430112,2.5957822799682617e-05,-0.7001475989818573,-0.6835971474647522,23.430370330810547,26.666666666666668,0,nan,0,nan
