step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used,gamma_ok
0,0,0,4.737039566040039,-1.0,0.001956550754620947,inf,inf,-69.18721771240234,0.00010454448784003034,0.05343305692076683,13.318815231323242,12.478902816772461,-5.620718002319336e-05,-0.04572862386703491,-0.05996203422546387,-69.0002212524414,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
1,0,1,4.719997406005859,-1.0,0.03561633187759203,inf,inf,-69.18721771240234,0.017486747354269028,0.05165122449398041,13.418779373168945,12.561346054077148,0.00037282705307006836,-0.05840015411376953,-0.05176949501037598,-71.36453247070312,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
2,0,2,4.663372993469238,-1.0,0.07965038503325352,inf,inf,-69.18721771240234,0.019433720037341118,0.04083084315061569,13.966041564941406,11.642852783203125,-0.0015372633934020996,-0.003110349178314209,-0.030038118362426758,-66.43376159667969,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
3,0,3,4.784333229064941,-1.0,0.10720129890709042,inf,inf,-69.18721771240234,0.005901184398680925,0.01661558821797371,15.014439582824707,11.490976333618164,4.8220157623291016e-05,-0.24804002046585083,-0.21747738122940063,-84.68572235107422,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
4,0,4,5.070863723754883,-1.0,0.179922852923949,inf,inf,-69.18721771240234,0.010139329358935356,0.01215139590203762,18.82610321044922,11.203807830810547,0.0003007054328918457,-0.22278815507888794,-0.22177547216415405,-117.7616958618164,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
5,0,5,4.811183929443359,-1.0,0.27658529297012613,inf,inf,-69.18721771240234,0.015504168346524239,0.01352248527109623,15.0846586227417,10.17619800567627,-0.0007824301719665527,-0.0767972469329834,-0.04931652545928955,56.89409637451172,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
6,0,6,4.9483842849731445,-1.0,0.249679286623929,inf,inf,-69.18721771240234,0.0001443796936655417,0.01918608509004116,17.886131286621094,9.011465072631836,-7.212162017822266e-05,-0.21408355236053467,-0.15934759378433228,-47.813255310058594,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
7,0,7,4.746727466583252,-1.0,0.3596630028080332,inf,inf,-69.18721771240234,0.018316127359867096,0.013572363182902336,13.28920841217041,8.830756187438965,-0.003729879856109619,0.12805670499801636,0.21181869506835938,-36.341766357421875,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
8,0,8,4.96778678894043,-1.0,0.39667272312218566,inf,inf,-69.18721771240234,0.005988651886582375,0.008206328377127647,14.110166549682617,8.539226531982422,-0.001765131950378418,0.18336564302444458,0.13326799869537354,48.21110534667969,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
9,0,9,4.972956657409668,-1.0,0.5939800022330823,inf,inf,-69.18721771240234,0.01608162932097912,0.00678622629493475,16.165042877197266,7.591681480407715,0.0028432607650756836,0.3736143112182617,0.4632945656776428,79.71965789794922,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
