step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used
0,0,0,2.4264049530029297,-1.0,0.23521876852364743,inf,inf,-71.51344299316406,0.054152216762304306,0.23022064566612244,19.217132568359375,11.654914855957031,0.00225047767162323,0.3087081015110016,0.3600020408630371,-143.14230346679688,26.666666666666668,0,nan,0,nan,0.0,nan,0
1,0,1,2.6592204570770264,-1.0,0.2648066318963886,inf,inf,-71.51344299316406,0.0918453261256218,0.17293499410152435,38.110328674316406,12.643915176391602,-0.0032922476530075073,0.8513622134923935,0.8440521061420441,-365.8348693847656,26.666666666666668,0,nan,0,nan,0.0,nan,0
2,0,2,3.0691733360290527,-1.0,0.26846073700387796,inf,inf,-71.51344299316406,0.06116318702697754,0.20296551287174225,62.49049758911133,12.219793319702148,-0.004851117730140686,0.6978759616613388,0.8176573216915131,-630.2854614257812,26.666666666666668,0,nan,0,nan,0.0,nan,0
3,0,3,3.0373711585998535,-1.0,0.26920404994264524,inf,inf,-71.51344299316406,0.04683029651641846,0.16974025964736938,39.034393310546875,13.408172607421875,0.00013731420040130615,0.7894454300403595,0.8141162097454071,-324.8945617675781,26.666666666666668,0,nan,0,nan,0.0,nan,0
4,0,4,3.8123369216918945,-1.0,0.2923908740941879,inf,inf,-71.51344299316406,0.02539733052253723,0.05068596079945564,60.16581726074219,15.656326293945312,0.0312553346157074,-0.794638141989708,-0.7536968886852264,-355.2701416015625,26.666666666666668,0,nan,0,nan,0.0,nan,0
5,0,5,3.951181173324585,-1.0,0.2821412148065993,inf,inf,-71.51344299316406,0.01001555286347866,0.05274278298020363,128.5281524658203,12.979037284851074,0.004441946744918823,0.22946913540363312,0.5385392159223557,-392.04705810546875,26.666666666666668,0,nan,0,nan,0.0,nan,0
6,0,6,3.6805105209350586,-1.0,0.339469450030851,inf,inf,-71.51344299316406,0.10009419918060303,0.11701127141714096,59.82244110107422,12.202311515808105,-0.020860731601715088,0.7160471379756927,1.0760096311569214,-224.18545532226562,26.666666666666668,0,nan,0,nan,0.0,nan,0
7,0,7,4.49896764755249,-1.0,0.4982214034831388,inf,inf,-71.51344299316406,0.6114310622215271,0.31729868054389954,48.949466705322266,14.568603515625,0.16731610894203186,0.30899959802627563,1.4335023164749146,-188.99176025390625,26.666666666666668,0,nan,0,nan,0.0,nan,0
8,0,8,6.6418561935424805,-1.0,0.6059022375310623,inf,inf,-71.51344299316406,0.2351398915052414,0.14929234981536865,79.25933837890625,12.960073471069336,-0.13621196150779724,0.32106906175613403,0.1338624358177185,-212.82579040527344,26.666666666666668,0,nan,0,nan,0.0,nan,0
9,0,9,3.677565097808838,-1.0,0.5758364361531882,inf,inf,-71.51344299316406,0.0282143522053957,0.09243205934762955,39.686100006103516,9.746284484863281,-0.028619393706321716,-0.6862797141075134,-0.6503487825393677,-63.441741943359375,26.666666666666668,0,nan,0,nan,0.0,nan,0
10,0,10,3.9039978981018066,-1.0,0.5544972569068457,inf,inf,-71.51344299316406,0.016346734017133713,0.04510132595896721,37.698734283447266,6.98647403717041,-0.007164135575294495,-0.3941951394081116,-0.4166826009750366,-113.52886962890625,26.666666666666668,0,nan,0,nan,0.0,nan,0
11,0,11,3.7918143272399902,-1.0,0.5188929543191492,inf,inf,-71.51344299316406,0.004515842068940401,0.022755080834031105,16.39800453186035,5.145931720733643,0.003930628299713135,-0.6215007603168488,-0.42917390167713165,-32.93130874633789,26.666666666666668,0,nan,0,nan,0.0,nan,0
12,0,12,3.0976200103759766,-1.0,0.46738736656162,inf,inf,-71.51344299316406,7.356923015322536e-05,0.01917324960231781,9.517916679382324,3.765913724899292,-0.0002939552068710327,-0.3237829953432083,-0.24386078119277954,-18.633808135986328,26.666666666666668,0,nan,0,nan,0.0,nan,0
13,0,13,3.729867458343506,-1.0,1.7001055724553786,inf,inf,-71.51344299316406,0.11110824346542358,0.008684015832841396,16.180896759033203,2.646956443786621,0.01025371253490448,-0.35264499485492706,-0.3836653530597687,-21.604129791259766,26.666666666666668,0,nan,0,nan,0.0,nan,0
14,0,14,2.680112361907959,-1.0,1.5311050612289023,inf,inf,-71.51344299316406,0.000348173693055287,0.034471072256565094,4.313302993774414,3.1648573875427246,0.0006871968507766724,-0.09547309577465057,-0.10800531506538391,39.57887649536133,26.666666666666668,0,nan,0,nan,0.0,nan,0
15,0,15,2.5003468990325928,-1.0,1.4346261469753232,inf,inf,-71.51344299316406,0.08854077756404877,0.1563452035188675,9.063405990600586,8.664615631103516,-0.019838079810142517,-0.10548867285251617,-0.07914097607135773,31.2166748046875,26.666666666666668,0,nan,0,nan,0.0,nan,0
16,0,16,2.398712635040283,-1.0,1.3565555713771211,inf,inf,-71.51344299316406,0.020568283274769783,0.031453803181648254,3.397611141204834,2.162200927734375,0.0042597949504852295,-0.20795544981956482,-0.19864341616630554,-8.321452140808105,26.666666666666668,0,nan,0,nan,0.0,nan,0
17,0,17,2.688549041748047,-1.0,1.4185172387550844,inf,inf,-71.51344299316406,0.2379768043756485,0.12042310833930969,12.145149230957031,4.131824016571045,-0.012517422437667847,-0.11691026389598846,-0.1033305823802948,43.114112854003906,26.666666666666668,0,nan,0,nan,0.0,nan,0
18,0,18,2.276564121246338,-1.0,1.3906835056706919,inf,inf,-71.51344299316406,0.0019584805704653263,0.0017176943365484476,3.667790651321411,0.9644568562507629,0.00018510222434997559,-0.11481446027755737,-0.10927723348140717,32.7302131652832,26.666666666666668,0,nan,0,nan,0.0,nan,0
19,0,19,2.5987467765808105,-1.0,1.8816903471804727,inf,inf,-71.51344299316406,0.012354407459497452,0.0019607830327004194,3.462343454360962,1.1465178728103638,-2.4139881134033203e-05,-0.12691153585910797,-0.1245010644197464,27.656349182128906,26.666666666666668,0,nan,0,nan,0.0,nan,0
20,0,20,2.201914072036743,-1.0,1.694307730168831,inf,inf,-71.51344299316406,6.603194924537092e-05,0.00839654915034771,0.9230118989944458,1.5256688594818115,1.0251998901367188e-05,-0.019222617149353027,-0.022706732153892517,28.944429397583008,26.666666666666668,0,nan,0,nan,0.0,nan,0
21,0,21,2.3177599906921387,-1.0,1.572815633253943,inf,inf,-71.51344299316406,0.01006453949958086,0.02099461294710636,2.898850440979004,2.0881099700927734,8.466839790344238e-05,-0.042242035269737244,-0.044733911752700806,18.087177276611328,26.666666666666668,0,nan,0,nan,0.0,nan,0
