step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used,gamma_ok
0,0,0,4.783770561218262,-1.0,2.501852256004892,inf,inf,-153.7596893310547,0.22582583129405975,0.09026345610618591,16.05047607421875,13.518379211425781,-0.0002784132957458496,-0.05937117338180542,-0.057551801204681396,-153.77810668945312,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
1,0,1,4.674525260925293,-1.0,2.333674802318081,inf,inf,-153.7596893310547,0.01811417192220688,0.02208836004137993,13.910436630249023,13.41499137878418,-0.0024451017379760742,-0.04230141639709473,-0.03308665752410889,-64.442626953125,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
2,0,2,4.792856693267822,-1.0,2.182816775709014,inf,inf,-153.7596893310547,0.008617130108177662,0.010443809442222118,16.456037521362305,12.300271987915039,-0.0020900964736938477,-0.20420992374420166,-0.19875705242156982,-93.36085510253906,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
3,0,3,4.71593713760376,-1.0,1.9779086840340243,inf,inf,-153.7596893310547,0.0005750161362811923,0.004299640655517578,14.498397827148438,11.77393913269043,0.00012481212615966797,0.01722872257232666,0.11349332332611084,-69.94725036621094,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
4,0,4,4.828489303588867,-1.0,1.7911237867858627,inf,inf,-153.7596893310547,0.000469611375592649,0.0042668781243264675,15.725747108459473,11.767904281616211,0.00018072128295898438,-0.17950588464736938,-0.16902142763137817,-71.71155548095703,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
5,0,5,4.979585647583008,-1.0,1.836597099290059,inf,inf,-153.7596893310547,0.004737875424325466,0.002109606983140111,16.08926010131836,11.727354049682617,-0.000622093677520752,0.02245861291885376,0.051478683948516846,-77.5246810913086,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
6,0,6,4.7873969078063965,-1.0,1.7662068595131342,inf,inf,-153.7596893310547,0.001206034328788519,0.001064747921191156,13.469502449035645,9.996769905090332,0.0003383755683898926,-0.034874141216278076,0.005241811275482178,66.98077392578125,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
7,0,7,4.969470977783203,-1.0,1.5924392584382827,inf,inf,-153.7596893310547,6.434595707105473e-05,0.0022553117014467716,15.192371368408203,9.693099021911621,-2.0682811737060547e-05,0.541210412979126,0.7641807198524475,104.05009460449219,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
8,0,8,5.148501396179199,-1.0,1.9323826901451038,inf,inf,-153.7596893310547,0.0063773710280656815,0.0012775505892932415,20.888427734375,8.765329360961914,0.0013396739959716797,-0.6768783926963806,-0.663303017616272,24.03274154663086,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
9,0,9,4.9277544021606445,-1.0,2.107441907238163,inf,inf,-153.7596893310547,0.001528386608697474,0.00041498697828501463,16.441070556640625,7.672428131103516,0.0006774067878723145,-0.4282838702201843,-0.37673527002334595,51.44514465332031,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
