step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff
0,0,0,2.414454936981201,-1.0,0.20084060542328785,inf,inf,-88.96084594726562,0.014629743993282318,0.0728425607085228,-0.0021355748176574707,0.08841130137443542,0.07701459527015686,-89.02213287353516,26.666666666666668,0,nan,0,nan
1,0,1,2.4355521202087402,-1.0,0.18246719462298894,inf,inf,-88.96084594726562,0.0007074602763168514,0.04135623201727867,0.000595971941947937,0.007324934005737305,-0.007358238101005554,-92.50125885009766,26.666666666666668,0,nan,0,nan
2,0,2,2.674652099609375,-1.0,0.18918198311552067,inf,inf,-88.96084594726562,0.02259613201022148,0.09052390605211258,0.0014139115810394287,0.6443079262971878,0.8095247596502304,-210.04408264160156,26.666666666666668,0,nan,0,nan
3,0,3,3.1186320781707764,-1.0,0.3713334836058976,inf,inf,-88.96084594726562,0.09688903391361237,0.04818679019808769,-0.019140824675559998,0.6801011562347412,0.6186581552028656,-284.88165283203125,26.666666666666668,0,nan,0,nan
4,0,4,3.9290647506713867,-1.0,0.3355193271234984,inf,inf,-88.96084594726562,0.00016919465269893408,0.012825628742575645,-0.0011679679155349731,1.9317674040794373,2.0630291402339935,-400.26470947265625,26.666666666666668,0,nan,0,nan
5,0,5,3.8104782104492188,-1.0,0.332784712098019,inf,inf,-88.96084594726562,0.0038532542530447245,0.012503535486757755,0.002932801842689514,3.4595847427845,3.043746769428253,-217.95343017578125,26.666666666666668,0,nan,0,nan
6,0,6,7.030044078826904,-1.0,0.45744297760558794,inf,inf,-88.96084594726562,0.012164641171693802,0.00770222395658493,-0.0131339430809021,-2.447290390729904,-2.3199462294578552,-329.0744323730469,26.666666666666668,0,nan,0,nan
7,0,7,6.113059043884277,-1.0,0.42542881854283665,inf,inf,-88.96084594726562,0.001573273097164929,0.01145853754132986,-0.005076080560684204,12.926856458187103,11.594528555870056,-166.91787719726562,26.666666666666668,0,nan,0,nan
8,0,8,4.226036548614502,-1.0,0.39807437109652694,inf,inf,-88.96084594726562,6.165272498037666e-05,0.0004059188941027969,-0.0006868094205856323,-1.419300764799118,-1.5366226434707642,-158.25894165039062,26.666666666666668,0,nan,0,nan
9,0,9,3.2942585945129395,-1.0,0.3641534329074792,inf,inf,-88.96084594726562,0.00019540752691682428,0.0033195882569998503,0.0008835941553115845,39.03210458159447,38.51082797348499,-141.1619110107422,26.666666666666668,0,nan,0,nan
