step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable
0,0,0,2.390139579772949,-1.0,0.2127011325859045,inf,inf,-79.46166229248047,0.027865083888173103,0.13100580871105194,-0.0020606815814971924,0.06003396213054657,0.029608681797981262,-79.5105972290039,26.666666666666668,0,nan,0
1,0,1,2.5540034770965576,-1.0,0.20205494633217858,inf,inf,-79.46166229248047,0.008628277108073235,0.0812155157327652,-0.0007914453744888306,0.231894388794899,0.19897297024726868,-164.97219848632812,26.666666666666668,0,nan,0
2,0,2,2.543800115585327,-1.0,0.20272936998149466,inf,inf,-79.46166229248047,0.010161698795855045,0.04866733029484749,0.0011382251977920532,0.274299293756485,0.2554704248905182,-153.8043212890625,26.666666666666668,0,nan,0
3,0,3,2.703117847442627,-1.0,0.762395300448107,inf,inf,-79.46166229248047,0.12751124799251556,0.02198701538145542,-0.003459423780441284,0.4772098660469055,0.4479787051677704,-133.3343963623047,26.666666666666668,0,nan,0
4,0,4,3.115579128265381,-1.0,0.8351484796575781,inf,inf,-79.46166229248047,0.04382016137242317,0.029410943388938904,-0.0010730177164077759,0.3240240216255188,0.4190974533557892,-249.9349365234375,26.666666666666668,0,nan,0
5,0,5,3.992110252380371,-1.0,0.8740360576871762,inf,inf,-79.46166229248047,0.022594774141907692,0.018459416925907135,-0.0014503300189971924,-0.37971481680870056,-0.5727870613336563,-349.995361328125,26.666666666666668,0,nan,0
6,0,6,4.143124103546143,-1.0,0.7895692342287285,inf,inf,-79.46166229248047,0.0004406882799230516,0.01500582043081522,3.6850571632385254e-05,-0.5321093052625656,-0.5350551754236221,-245.4482421875,26.666666666666668,0,nan,0
7,0,7,5.244539260864258,-1.0,0.9093495895628015,inf,inf,-79.46166229248047,0.034820739179849625,0.01752099022269249,-0.003176569938659668,-0.3282298743724823,-0.5269912481307983,-331.348388671875,26.666666666666668,0,nan,0
8,0,8,5.8663330078125,-1.0,0.953790666935812,inf,inf,-79.46166229248047,0.08388812094926834,0.06196674332022667,-0.007267028093338013,-1.7758564203977585,-1.6088364869356155,-221.86221313476562,26.666666666666668,0,nan,0
9,0,9,4.834559917449951,-1.0,1.6266850270622946,inf,inf,-79.46166229248047,0.4364982843399048,0.056815486401319504,-0.007320567965507507,-0.8465454876422882,-0.9579260945320129,-101.55812072753906,26.666666666666668,0,nan,0
