step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used
0,0,0,2.497382640838623,-1.0,0.45432996871905873,inf,inf,-110.43606567382812,0.05682726949453354,0.12507928907871246,29.420881271362305,11.669061660766602,0.0018239766359329224,0.6870433539152145,0.76094751060009,-142.3433837890625,26.666666666666668,0,nan,0,nan,0.0,nan,0
1,0,1,2.972501039505005,-1.0,0.47125824181628373,inf,inf,-110.43606567382812,0.06626293063163757,0.10625654458999634,43.7580451965332,11.926733016967773,0.01840098202228546,0.3837008625268936,0.20145283639431,-344.7711181640625,26.666666666666668,0,nan,0,nan,0.0,nan,0
2,0,2,3.6350088119506836,-1.0,0.4581528984981818,inf,inf,-110.43606567382812,0.03122800961136818,0.0917917937040329,63.858089447021484,12.790355682373047,-0.008167609572410583,0.2823995351791382,0.27739208936691284,-587.20849609375,26.666666666666668,0,nan,0,nan,0.0,nan,0
3,0,3,4.170371055603027,-1.0,0.7018549683206328,inf,inf,-110.43606567382812,0.07981272041797638,0.027567507699131966,72.47802734375,11.98533821105957,0.019068390130996704,-0.24144580960273743,-0.24055561423301697,-473.5540771484375,26.666666666666668,0,nan,0,nan,0.0,nan,0
4,0,4,3.8010151386260986,-1.0,0.6697705460046612,inf,inf,-110.43606567382812,0.007246566936373711,0.019019324332475662,50.60915756225586,11.315683364868164,0.00013162195682525635,0.9618234634399414,0.9158613085746765,-302.9151611328125,26.666666666666668,0,nan,0,nan,0.0,nan,0
5,0,5,6.801181793212891,-1.0,1.0232929522095378,inf,inf,-110.43606567382812,0.06428539752960205,0.015287866815924644,247.6005096435547,13.11911678314209,-0.015072554349899292,9.87433236837387,9.491666823625565,-460.22113037109375,26.666666666666668,0,nan,0,nan,0.0,nan,0
6,0,6,6.340517520904541,-1.0,1.0409471401717318,inf,inf,-110.43606567382812,0.019530436024069786,0.016277603805065155,127.79821014404297,11.789907455444336,0.024939894676208496,7.683430105447769,8.66418007016182,-208.69529724121094,26.666666666666668,0,nan,0,nan,0.0,nan,0
7,0,7,7.106436729431152,-1.0,0.9811339832954975,inf,inf,-110.43606567382812,0.009520720690488815,0.021500419825315475,87.61195373535156,12.658096313476562,0.0034832358360290527,-4.872576639056206,-5.223182812333107,-66.9268569946289,26.666666666666668,0,nan,0,nan,0.0,nan,0
8,0,8,4.76255989074707,-1.0,1.612329594121492,inf,inf,-110.43606567382812,0.9915175437927246,0.13595300912857056,29.6876163482666,12.169756889343262,-0.08154281973838806,-1.2391271591186523,-1.1876335889101028,-70.87646484375,26.666666666666668,0,nan,0,nan,0.0,nan,0
9,0,9,3.98469614982605,-1.0,1.4786620852496475,inf,inf,-110.43606567382812,0.0010475409217178822,0.003800195176154375,16.655658721923828,9.045316696166992,-0.0007835030555725098,-0.8443219363689423,-0.9050921648740768,-39.823829650878906,26.666666666666668,0,nan,0,nan,0.0,nan,0
10,0,10,4.92325496673584,-1.0,1.6002994906758554,inf,inf,-110.43606567382812,0.07534737884998322,0.027957836166024208,352.14666748046875,42.387638092041016,0.06981106102466583,135.13358891010284,133.00499452650547,123.98075866699219,26.666666666666668,0,nan,0,nan,0.0,nan,0
11,0,11,5.113920211791992,-1.0,1.5044473888870806,inf,inf,-110.43606567382812,0.0008084872970357537,0.0012597606983035803,32.624595642089844,5.280425548553467,-0.00037935376167297363,-1.9097291976213455,-1.8667117655277252,102.61618041992188,26.666666666666668,0,nan,0,nan,0.0,nan,0
12,0,12,3.433603048324585,-1.0,1.388826678427562,inf,inf,-110.43606567382812,0.00021634387667290866,0.0006212488515302539,14.000879287719727,7.459051132202148,-0.00025625526905059814,0.07743199169635773,0.10174006223678589,82.63671875,26.666666666666668,0,nan,0,nan,0.0,nan,0
13,0,13,3.0993807315826416,-1.0,1.3283359269692707,inf,inf,-110.43606567382812,0.0008418826619163156,0.0010739406570792198,7.119163990020752,8.765582084655762,0.0012709051370620728,-0.43409229815006256,-0.5296451449394226,23.817914962768555,26.666666666666668,0,nan,0,nan,0.0,nan,0
14,0,14,4.065252304077148,-1.0,1.207344736467784,inf,inf,-110.43606567382812,0.001082292408682406,0.00913912896066904,10.820592880249023,20.34419822692871,1.944601535797119e-05,-1.0822908878326416,-0.8936902731657028,-19.62872886657715,26.666666666666668,0,nan,0,nan,0.0,nan,0
15,0,15,4.980839252471924,-1.0,1.1040466806987626,inf,inf,-110.43606567382812,0.0018653713632375002,0.010698134079575539,33.26914978027344,32.96984100341797,0.0017245560884475708,-0.4636058509349823,-0.6344428956508636,-37.509037017822266,26.666666666666668,0,nan,0,nan,0.0,nan,0
16,0,16,5.802285671234131,-1.0,1.150840581106135,inf,inf,-110.43606567382812,0.031872402876615524,0.02027525007724762,986.8766479492188,169.04124450683594,-0.005913376808166504,97.4027743935585,97.98960840702057,-694.169677734375,26.666666666666668,0,nan,0,nan,0.0,nan,0
17,0,17,3.4170100688934326,-1.0,1.0431008171872496,inf,inf,-110.43606567382812,0.00038936184137128294,0.005301555618643761,13.076906204223633,9.751779556274414,-0.0007102638483047485,-1.0382503122091293,-0.9887005537748337,19.229433059692383,26.666666666666668,0,nan,0,nan,0.0,nan,0
18,0,18,3.240079402923584,-1.0,0.9479407547048094,inf,inf,-110.43606567382812,7.669388287467882e-05,0.0008381827501580119,7.503350257873535,2.846165418624878,-0.00022715330123901367,-0.9135605990886688,-0.8293906301259995,15.808380126953125,26.666666666666668,0,nan,0,nan,0.0,nan,0
19,0,19,3.280068874359131,-1.0,0.9013864945602629,inf,inf,-110.43606567382812,0.00031634437618777156,0.0006557744345627725,10.781740188598633,2.418837785720825,-0.0004143267869949341,-0.6163168847560883,-0.6701734960079193,28.989206314086914,26.666666666666668,0,nan,0,nan,0.0,nan,0
20,0,20,3.0473127365112305,-1.0,0.8229439326551244,inf,inf,-110.43606567382812,2.5219274903065525e-05,0.00021562146139331162,4.114999771118164,1.8594388961791992,-5.6609511375427246e-05,-0.2574540972709656,-0.28406623005867004,39.193389892578125,26.666666666666668,0,nan,0,nan,0.0,nan,0
