step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used,gamma_ok
0,0,0,4.737039566040039,-1.0,0.0019558580141710914,inf,inf,-69.1874771118164,0.0001045092212734744,0.05343395099043846,13.318815231323242,12.478902816772461,-6.872415542602539e-05,-0.0477408766746521,-0.0616341233253479,-69.0006332397461,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
1,0,1,4.719992637634277,-1.0,0.03699093455480044,inf,inf,-69.1874771118164,0.018261119723320007,0.051833029836416245,13.429972648620605,12.558673858642578,0.0004475712776184082,-0.058010101318359375,-0.051225364208221436,-71.22278594970703,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
2,0,2,4.663508415222168,-1.0,0.03834469246853898,inf,inf,-69.1874771118164,0.001198084675706923,0.023711061105132103,13.94992446899414,11.64868450164795,-0.0003871917724609375,-0.02512216567993164,-0.04980266094207764,-66.84418487548828,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
3,0,3,4.785747051239014,-1.0,0.07547974453702505,inf,inf,-69.1874771118164,0.007546394132077694,0.018419532105326653,14.765534400939941,11.605568885803223,-0.00024306774139404297,-0.21835285425186157,-0.18348848819732666,-86.53166961669922,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
4,0,4,5.066976547241211,-1.0,0.39619606994096723,inf,inf,-69.1874771118164,0.02966459095478058,0.00903680082410574,18.573040008544922,11.138364791870117,0.00016576051712036133,-0.27467578649520874,-0.2695443630218506,-98.74510192871094,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
5,0,5,4.8179779052734375,-1.0,0.4060756050773485,inf,inf,-69.1874771118164,0.001385349896736443,0.002798735164105892,15.148313522338867,10.130226135253906,-0.0001233220100402832,0.003510892391204834,0.05746966600418091,-46.1494255065918,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
6,0,6,4.956543445587158,-1.0,0.365575861635698,inf,inf,-69.1874771118164,1.413132395100547e-06,0.0013106759870424867,18.283992767333984,8.652372360229492,-2.2649765014648438e-05,-0.14195847511291504,-0.09413880109786987,-54.49456024169922,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
7,0,7,4.784388542175293,-1.0,0.7067114435401287,inf,inf,-69.1874771118164,0.008070616982877254,0.002136818366125226,14.163928031921387,8.456693649291992,-0.0025165677070617676,0.20020633935928345,0.29587286710739136,-27.381668090820312,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
8,0,8,4.999264717102051,-1.0,0.9020532518886346,inf,inf,-69.1874771118164,0.0020420020446181297,0.0007676325622014701,14.699825286865234,8.023723602294922,-0.0005029439926147461,-0.11027127504348755,-0.20046496391296387,65.80486297607422,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
9,0,9,4.977869033813477,-1.0,1.145143501883511,inf,inf,-69.1874771118164,0.0020511127077043056,0.0006154035218060017,14.797120094299316,6.821608543395996,0.0004063248634338379,0.10815829038619995,0.18076318502426147,81.9281234741211,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
