step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff
0,0,0,2.4264049530029297,-1.0,0.011682389928652706,inf,inf,-143.1392822265625,0.0019020828185603023,0.16281624138355255,0.00010369718074798584,0.23796768486499786,0.2657124847173691,-143.14503479003906,26.666666666666668,0,nan,0,nan
1,0,1,2.65921950340271,-1.0,0.08493406912057626,inf,inf,-143.1392822265625,0.08024246990680695,0.1078239157795906,-0.002098873257637024,0.8339403569698334,0.8264587223529816,-366.0281677246094,26.666666666666668,0,nan,0,nan
2,0,2,3.0688633918762207,-1.0,0.09351195864165175,inf,inf,-143.1392822265625,0.024098383262753487,0.141163170337677,-0.00468108057975769,0.692392572760582,0.8131732195615768,-618.0079345703125,26.666666666666668,0,nan,0,nan
3,0,3,3.0457942485809326,-1.0,0.2894433792265433,inf,inf,-143.1392822265625,0.07948489487171173,0.03871973976492882,0.016043424606323242,1.132993996143341,1.2344966679811478,-329.9010314941406,26.666666666666668,0,nan,0,nan
4,0,4,3.818758964538574,-1.0,0.26177336997374134,inf,inf,-143.1392822265625,3.4954042348545045e-05,0.0027429377660155296,0.0003167092800140381,-0.6866456717252731,-0.6560175865888596,-327.0826416015625,26.666666666666668,0,nan,0,nan
5,0,5,4.026525497436523,-1.0,0.26719084116880487,inf,inf,-143.1392822265625,0.00024740947992540896,0.0007830700487829745,-0.000261455774307251,0.07569113373756409,0.32732126116752625,-413.8351135253906,26.666666666666668,0,nan,0,nan
6,0,6,3.6731925010681152,-1.0,0.44607062281830523,inf,inf,-143.1392822265625,0.0008153479429893196,0.0003965721989516169,-0.0005258768796920776,0.22154712677001953,0.3499247431755066,-162.71018981933594,26.666666666666668,0,nan,0,nan
7,0,7,4.349106311798096,-1.0,0.4059270391242106,inf,inf,-143.1392822265625,5.619912553811446e-05,0.0012590880505740643,-8.091330528259277e-06,0.8557739555835724,1.203641265630722,-156.39138793945312,26.666666666666668,0,nan,0,nan
8,0,8,6.2927961349487305,-1.0,0.4704932391828516,inf,inf,-143.1392822265625,0.0009188419790007174,0.0008737652678973973,-0.00041291117668151855,0.5911572277545929,0.737904816865921,-193.4994659423828,26.666666666666668,0,nan,0,nan
9,0,9,3.7370693683624268,-1.0,0.4884795924643079,inf,inf,-143.1392822265625,0.0004653555806726217,0.0007155389175750315,2.4527311325073242e-05,-0.7458498626947403,-0.7397328168153763,-82.64241027832031,26.666666666666668,0,nan,0,nan
