step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff
0,0,0,2.4264049530029297,-1.0,0.011679326044022604,inf,inf,-143.13800048828125,0.0019015636062249541,0.16281449794769287,0.00010065734386444092,0.23795975744724274,0.26571157574653625,-143.14454650878906,26.666666666666668,0,nan,0,nan
1,0,1,2.6592183113098145,-1.0,0.07680958529098518,inf,inf,-143.13800048828125,0.07182593643665314,0.10833770036697388,-0.0022550225257873535,0.8339436948299408,0.8267235159873962,-365.9667053222656,26.666666666666668,0,nan,0,nan
2,0,2,3.0690596103668213,-1.0,0.08090636091764923,inf,inf,-143.13800048828125,0.019121574237942696,0.16235359013080597,-0.004713505506515503,0.6957874149084091,0.8140354454517365,-626.928466796875,26.666666666666668,0,nan,0,nan
3,0,3,3.0361757278442383,-1.0,0.11858587075444646,inf,inf,-143.13800048828125,0.013107196427881718,0.028636999428272247,0.002762913703918457,0.8391612321138382,0.8499464243650436,-321.5006103515625,26.666666666666668,0,nan,0,nan
4,0,4,3.8151187896728516,-1.0,0.4181367291451149,inf,inf,-143.13800048828125,0.06544184684753418,0.021014727652072906,0.01788964867591858,-0.7743740528821945,-0.7347429096698761,-299.86895751953125,26.666666666666668,0,nan,0,nan
5,0,5,3.950122356414795,-1.0,0.49576436381469247,inf,inf,-143.13800048828125,0.01957288570702076,0.016387032344937325,-0.0041392892599105835,-0.010460540652275085,0.22091887891292572,-346.7018127441406,26.666666666666668,0,nan,0,nan
6,0,6,3.6276636123657227,-1.0,0.9345411168784987,inf,inf,-143.13800048828125,0.07938133180141449,0.016254901885986328,-0.0027879327535629272,0.035369619727134705,0.1424311101436615,-176.67404174804688,26.666666666666668,0,nan,0,nan
7,0,7,4.427211761474609,-1.0,1.01892061049939,inf,inf,-143.13800048828125,0.1162370964884758,0.0653628408908844,0.021753042936325073,0.2527198791503906,0.5552666634321213,-149.81613159179688,26.666666666666668,0,nan,0,nan
8,0,8,6.342646598815918,-1.0,0.9173102281185163,inf,inf,-143.13800048828125,0.00017281148757319897,0.06135057657957077,-0.003222733736038208,0.2356988787651062,0.3623502552509308,-172.22982788085938,26.666666666666668,0,nan,0,nan
9,0,9,3.6640477180480957,-1.0,0.8702345354326829,inf,inf,-143.13800048828125,0.02046847902238369,0.04583658650517464,-0.04951854050159454,-0.2084399163722992,-0.2263263761997223,-48.084808349609375,26.666666666666668,0,nan,0,nan
