step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used,gamma_ok
0,0,0,4.720114707946777,-1.0,0.47715151694194585,inf,inf,-93.18107604980469,0.04717273265123367,0.09886321425437927,12.74810791015625,12.587203025817871,-0.0010796785354614258,-0.046748220920562744,-0.04465365409851074,-93.25328826904297,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
1,0,1,4.6886067390441895,-1.0,0.6300003784355472,inf,inf,-93.18107604980469,0.12684452533721924,0.06324391067028046,13.731164932250977,12.249711036682129,0.004316568374633789,-0.04233121871948242,-0.07144510746002197,-96.280517578125,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
2,0,2,4.686511039733887,-1.0,0.6857356395863689,inf,inf,-93.18107604980469,0.07917650043964386,0.06668320298194885,12.271821022033691,11.669147491455078,-0.00112152099609375,-0.0582195520401001,-0.07204043865203857,-53.542518615722656,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
3,0,3,4.713860511779785,-1.0,0.7232385074825685,inf,inf,-93.18107604980469,0.08261493593454361,0.07788246124982834,14.353246688842773,11.474855422973633,-0.001971721649169922,-0.17659056186676025,-0.16226601600646973,-93.9513168334961,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
4,0,4,4.797218322753906,-1.0,0.6540379740530399,inf,inf,-93.18107604980469,0.001158214989118278,0.03708284720778465,15.009248733520508,11.250730514526367,0.0002950429916381836,-0.15431952476501465,-0.16901183128356934,-80.03675842285156,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
5,0,5,4.923601150512695,-1.0,0.7038778797406592,inf,inf,-93.18107604980469,0.024182291701436043,0.020983612164855003,14.85739517211914,11.024425506591797,-0.0021358132362365723,-0.19610100984573364,-0.18414121866226196,-82.08200073242188,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
6,0,6,4.799262046813965,-1.0,0.7754332317803143,inf,inf,-93.18107604980469,0.012424645014107227,0.008753255009651184,12.593632698059082,10.564208030700684,-0.0014706254005432129,-0.11537349224090576,-0.104999840259552,-58.824066162109375,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
7,0,7,4.862972736358643,-1.0,0.7867725310601403,inf,inf,-93.18107604980469,0.006750949192792177,0.007595353294163942,13.216127395629883,10.159515380859375,0.0010383129119873047,-0.1850183606147766,-0.1833791732788086,-55.68145751953125,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
8,0,8,4.912261962890625,-1.0,1.0201034806999818,inf,inf,-93.18107604980469,0.027872199192643166,0.008933162316679955,14.049744606018066,10.099050521850586,0.0015436410903930664,-0.22423911094665527,-0.19156163930892944,-60.746891021728516,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
9,0,9,4.8494744300842285,-1.0,1.1533949713541338,inf,inf,-93.18107604980469,0.013451539911329746,0.00571671687066555,11.821415901184082,9.079549789428711,0.0008354783058166504,-0.1949874758720398,-0.19904381036758423,-48.18915939331055,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
10,0,10,4.810691833496094,-1.0,1.2884096368277649,inf,inf,-93.18107604980469,0.01310859713703394,0.005236021243035793,14.29983901977539,8.978397369384766,-0.00042366981506347656,0.008435606956481934,0.08078122138977051,-44.51225662231445,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
11,0,11,4.964234352111816,-1.0,1.2085985130808328,inf,inf,-93.18107604980469,0.000492530467454344,0.0010045524686574936,14.255794525146484,8.551010131835938,0.00010466575622558594,-0.3411518335342407,-0.2529078722000122,77.0006103515625,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
12,0,12,4.8636016845703125,-1.0,1.0884535718619273,inf,inf,-93.18107604980469,5.764042271039216e-06,0.0008062611450441182,15.830930709838867,8.05107307434082,-9.894371032714844e-06,-0.18473464250564575,-0.1707932949066162,72.79283905029297,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
13,0,13,4.771456241607666,-1.0,0.9808742461453953,inf,inf,-93.18107604980469,1.7157501133624464e-05,0.001355219166725874,11.169954299926758,9.225648880004883,-2.7358531951904297e-05,-0.33391815423965454,-0.38504934310913086,-34.424224853515625,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
14,0,14,5.063512802124023,-1.0,1.572509255378994,inf,inf,-93.18107604980469,0.0037920521572232246,0.0005497939419001341,16.031002044677734,8.577017784118652,-0.0006277561187744141,-0.31566286087036133,-0.466715931892395,-55.011024475097656,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
15,0,15,4.9036970138549805,-1.0,1.4823402998079442,inf,inf,-93.18107604980469,0.00027987267822027206,0.00041720998706296086,11.659355163574219,7.70327091217041,0.00010573863983154297,-0.23487257957458496,-0.2330504059791565,-29.083646774291992,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
16,0,16,5.025183200836182,-1.0,1.3441911235171051,inf,inf,-93.18107604980469,6.419396959245205e-05,0.0006365384324453771,12.223186492919922,7.447000503540039,-5.036592483520508e-05,-0.2588898539543152,-0.25827717781066895,-26.933013916015625,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
17,0,17,4.646376132965088,-1.0,1.2716300794081274,inf,inf,-93.18107604980469,0.00020352359570097178,0.0003290170570835471,10.208337783813477,7.5955328941345215,9.995698928833008e-05,-0.1748839020729065,-0.197370707988739,16.738101959228516,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
