step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar
0,0,0,2.390139579772949,-1.0,0.21268501910944232,inf,inf,-79.45879364013672,0.027863213792443275,0.13100694119930267,-0.0019623239835103354,0.09676353136698405,0.06235633293787638,-79.51181030273438,25.0,1,nan
1,0,1,2.5928874015808105,-1.0,0.2074036483405369,inf,inf,-79.45879364013672,0.015491069294512272,0.09689711779356003,-0.001488029956817627,0.2847425142923991,0.2921481728553772,-189.07542419433594,25.0,1,nan
2,0,2,2.5706710815429688,-1.0,0.35710094444560864,inf,inf,-79.45879364013672,0.06248632073402405,0.0366622731089592,-0.0017451047897338867,0.34392579396565753,0.38758862018585205,-175.28414916992188,25.0,1,nan
3,0,3,2.868124485015869,-1.0,0.44938973521340253,inf,inf,-79.45879364013672,0.03695625066757202,0.028872322291135788,-0.001414636770884196,0.4903280735015869,0.4338148236274719,-186.33663940429688,25.0,1,nan
4,0,4,3.471914768218994,-1.0,0.5750249177519491,inf,inf,-79.45879364013672,0.07371813803911209,0.043217647820711136,-0.004224916299184163,-0.1776884396870931,0.013069510459899902,-358.6156311035156,25.0,1,nan
5,0,5,3.642455816268921,-1.0,1.5610036330011354,inf,inf,-79.45879364013672,0.07205282151699066,0.006905042566359043,-0.0036770900090535483,-0.2500930627187093,-0.3402886192003886,-326.4293518066406,25.0,1,nan
6,0,6,4.081594467163086,-1.0,1.4841695486426318,inf,inf,-79.45879364013672,0.004507760517299175,0.005686857737600803,-0.00029198328653971356,-0.5110180377960205,-0.5598426659901937,-174.39697265625,25.0,1,nan
7,0,7,5.068418025970459,-1.0,1.4560280532589789,inf,inf,-79.45879364013672,0.005004056729376316,0.00416049687191844,-0.000310977300008138,-0.3575308521588643,-0.3954676588376363,-212.9073944091797,25.0,1,nan
8,0,8,5.1346282958984375,-1.0,1.3806525724042842,inf,inf,-79.45879364013672,0.00330938003025949,0.004712382331490517,-0.00013629595438639322,-1.3894043763478596,-1.210882306098938,-150.75259399414062,25.0,1,nan
9,0,9,4.542843818664551,-1.0,3.171605526847985,inf,inf,-79.45879364013672,0.013321243226528168,0.0006905711488798261,-0.0008605519930521647,-1.4742403229077656,-1.362501581509908,-80.1396713256836,25.0,1,nan
10,0,10,3.6653573513031006,-1.0,3.2864956259223432,inf,inf,-79.45879364013672,0.0033198848832398653,0.0007684017764404416,-0.0003120303153991699,-0.9738202889760336,-0.9199671943982443,55.92021179199219,25.0,1,nan
11,0,11,3.834339141845703,-1.0,2.9687490455423258,inf,inf,-79.45879364013672,0.00015834366786293685,0.0014522968558594584,-3.818670908610026e-05,-0.986022929350535,-1.048831303914388,-35.664642333984375,25.0,1,nan
12,0,12,3.5423059463500977,-1.0,3.0106673847599126,inf,inf,-79.45879364013672,0.0034091840498149395,0.0010062727378681302,-0.00019635756810506186,-0.5686955451965332,-0.6220576365788778,-26.314128875732422,25.0,1,nan
13,0,13,3.532573699951172,-1.0,2.7291283578306853,inf,inf,-79.45879364013672,0.00016218172095250338,0.0008305208757519722,-2.2570292154947918e-05,-0.5257526636123657,-0.5402028958002726,60.745506286621094,25.0,1,nan
14,0,14,3.0105502605438232,-1.0,2.4709799632891682,inf,inf,-79.45879364013672,7.369884770014323e-06,4.991644891561009e-05,-9.934107462565105e-08,-0.3892493049303691,-0.3648771643638611,-21.057411193847656,25.0,1,nan
15,0,15,2.339857578277588,-1.0,2.3636542680094794,inf,inf,-79.45879364013672,6.49376743240282e-05,4.6459615987259895e-05,-2.4040540059407553e-06,-0.01716911792755127,-0.009679575761159262,16.201366424560547,25.0,1,nan
16,0,16,2.622185230255127,-1.0,3.2648729663576392,inf,inf,-79.45879364013672,0.00023895376943983138,2.100537130900193e-05,-2.2331873575846355e-05,-0.19599908590316772,-0.18225608269373575,17.225984573364258,25.0,1,nan
17,0,17,2.402284860610962,-1.0,3.9517778375552446,inf,inf,-79.45879364013672,0.0013391998363658786,0.0001321502058999613,-6.222724914550781e-05,-0.039696196715037026,-0.04263395071029663,25.42914581298828,25.0,1,nan
