step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used
0,0,0,2.4833648204803467,-1.0,0.42088546329898624,inf,inf,-157.15411376953125,0.04083448648452759,0.09702042490243912,30.47021484375,12.61008071899414,0.00039739906787872314,0.3016890585422516,0.3221219778060913,-157.1810760498047,26.666666666666668,0,nan,0,nan,0.0,nan,0
1,0,1,2.9128708839416504,-1.0,0.6004171404726615,inf,inf,-157.15411376953125,0.11401589214801788,0.051446519792079926,36.262237548828125,12.460636138916016,0.012707695364952087,0.43044476211071014,0.4920414388179779,-242.0017547607422,26.666666666666668,0,nan,0,nan,0.0,nan,0
2,0,2,3.674992084503174,-1.0,0.7424296662748556,inf,inf,-157.15411376953125,0.06662507355213165,0.03297385573387146,73.4862289428711,14.257381439208984,0.04027394950389862,-0.12100449204444885,-0.19893436133861542,-602.8823852539062,26.666666666666668,0,nan,0,nan,0.0,nan,0
3,0,3,4.040883541107178,-1.0,0.7272127332611987,inf,inf,-157.15411376953125,0.04821178689599037,0.0816788524389267,80.8766860961914,14.255573272705078,-0.020651772618293762,1.703278198838234,1.7395841926336288,-606.9580688476562,26.666666666666668,0,nan,0,nan,0.0,nan,0
4,0,4,5.201476097106934,-1.0,0.8379982371347804,inf,inf,-157.15411376953125,0.162776917219162,0.08870349079370499,67.29412841796875,15.560050010681152,-0.04013192653656006,-1.2246910631656647,-1.257884919643402,-560.8406372070312,26.666666666666668,0,nan,0,nan,0.0,nan,0
5,0,5,5.2219648361206055,-1.0,0.7582569803325002,inf,inf,-157.15411376953125,0.0007130637532100081,0.017569348216056824,89.24907684326172,15.572927474975586,-0.002051621675491333,5.506646752357483,5.315841048955917,-470.4931640625,26.666666666666668,0,nan,0,nan,0.0,nan,0
6,0,6,5.7905120849609375,-1.0,0.8424942032488643,inf,inf,-157.15411376953125,0.008183575235307217,0.005112723913043737,93.60391235351562,13.468099594116211,0.003946930170059204,0.5440392792224884,0.501923531293869,-208.78396606445312,26.666666666666668,0,nan,0,nan,0.0,nan,0
7,0,7,4.798360824584961,-1.0,0.8222920508141819,inf,inf,-157.15411376953125,0.0008411253802478313,0.001313288463279605,47.4609375,9.49818229675293,0.0017799139022827148,-0.2583189606666565,-0.15810883045196533,-72.98954010009766,26.666666666666668,0,nan,0,nan,0.0,nan,0
8,0,8,4.059431076049805,-1.0,0.844246752063888,inf,inf,-157.15411376953125,0.0014665647177025676,0.0014076691586524248,31.142127990722656,7.496340751647949,-0.003396838903427124,0.3492645025253296,0.232646644115448,37.59695053100586,26.666666666666668,0,nan,0,nan,0.0,nan,0
9,0,9,3.9088339805603027,-1.0,0.7609338017095665,inf,inf,-157.15411376953125,9.571284863341134e-06,0.0008609400829300284,35.063194274902344,6.528022766113281,7.4803829193115234e-06,-0.8842258304357529,-0.77930848300457,49.710968017578125,26.666666666666668,0,nan,0,nan,0.0,nan,0
