step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used,gamma_ok
0,0,0,5.36610746383667,-1.0,0.02029668589457307,inf,inf,-400.8067321777344,0.0023506074212491512,0.11581237614154816,7.412285804748535,6.749625205993652,-0.0001385211944580078,-0.04119269053141276,-0.03707440694173177,-400.834228515625,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
1,0,1,5.465642929077148,-1.0,0.0255284742724941,inf,inf,-400.8067321777344,0.005884602665901184,0.08103886991739273,8.601887702941895,7.1879425048828125,0.0004965464274088541,-0.07787458101908366,-0.08130900065104167,-693.4173583984375,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
2,0,2,5.376701354980469,-1.0,0.10098185756209065,inf,inf,-400.8067321777344,0.03577602282166481,0.04586303234100342,7.409247398376465,6.709022045135498,0.004995663960774739,-0.0395514170328776,-0.021842320760091145,-239.64398193359375,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
3,0,3,5.468660354614258,-1.0,0.17504771668419877,inf,inf,-400.8067321777344,0.003455482190474868,0.004105651285499334,7.483053207397461,6.727380752563477,-0.0026486714680989585,-0.11763842900594075,-0.11658732096354167,-220.1643829345703,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
4,0,4,5.3985700607299805,-1.0,0.18526225733185345,inf,inf,-400.8067321777344,0.0007133754552341998,0.0025735683739185333,7.817156791687012,6.889670372009277,-0.0014795462290445964,-0.16652870178222656,-0.16324440638224283,-322.2744445800781,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
5,0,5,5.633447647094727,-1.0,0.2026101892245574,inf,inf,-400.8067321777344,0.0010952841257676482,0.0030531284864991903,10.464396476745605,7.149245738983154,0.0005753835042317709,-0.1673579216003418,-0.18710939089457193,-437.78662109375,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
6,0,6,5.566828727722168,-1.0,0.3459095771699576,inf,inf,-400.8067321777344,0.0012283381074666977,0.0007509996648877859,9.59561824798584,6.989241600036621,-0.0016736189524332683,-0.1782057285308838,-0.20467321077982584,-307.652587890625,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
7,0,7,5.742887020111084,-1.0,0.3243522806061222,inf,inf,-400.8067321777344,0.00015163620992098004,0.0011634199181571603,8.718722343444824,6.713479042053223,0.00022101402282714844,-0.2366665999094645,-0.2252050240834554,-307.2633972167969,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
8,0,8,5.741074085235596,-1.0,0.4627382422266949,inf,inf,-400.8067321777344,0.0028329454362392426,0.001658427412621677,10.68613052368164,6.69850492477417,0.0006364981333414713,-0.1491710344950358,-0.17862566312154135,-264.7840270996094,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
9,0,9,5.635928630828857,-1.0,0.41793703864047327,inf,inf,-400.8067321777344,7.276226824615151e-06,0.0004941005608998239,7.809293746948242,6.444068431854248,-2.2729237874348957e-05,-0.18007644017537436,-0.15191411972045898,-211.4862823486328,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
