step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff
0,0,0,2.497382640838623,-1.0,0.7352390126796934,inf,inf,-142.17544555664062,0.0470791719853878,0.06403247267007828,-0.0015263259410858154,0.3516555428504944,0.3874676078557968,-142.3429718017578,26.666666666666668,0,nan,0,nan
1,0,1,2.972510814666748,-1.0,0.7283032788769085,inf,inf,-142.17544555664062,0.0348762571811676,0.05237605795264244,-0.0005826801061630249,0.12909428775310516,-0.026063263416290283,-344.98162841796875,26.666666666666668,0,nan,0,nan
2,0,2,3.63472843170166,-1.0,0.9321885023449477,inf,inf,-142.17544555664062,0.04133917763829231,0.014939231798052788,0.0010935962200164795,0.20642687380313873,0.20662397146224976,-593.8278198242188,26.666666666666668,0,nan,0,nan
3,0,3,4.167389869689941,-1.0,0.8855733011546414,inf,inf,-142.17544555664062,0.005578048527240753,0.011969123966991901,7.270276546478271e-05,-0.7703125476837158,-0.7404315173625946,-472.6802062988281,26.666666666666668,0,nan,0,nan
4,0,4,3.8026130199432373,-1.0,1.1964374304287497,inf,inf,-142.17544555664062,0.01638828217983246,0.0041030049324035645,-0.00010822713375091553,-0.33858099579811096,-0.3726971000432968,-309.5060729980469,26.666666666666668,0,nan,0,nan
5,0,5,6.764559268951416,-1.0,1.130176490537439,inf,inf,-142.17544555664062,0.00231943023391068,0.0043449015356600285,9.819865226745605e-05,-1.428347110748291,-1.4822072088718414,-554.327880859375,26.666666666666668,0,nan,0,nan
6,0,6,6.264837265014648,-1.0,1.924542420948486,inf,inf,-142.17544555664062,0.014499589800834656,0.001597955939359963,-0.00039777159690856934,-1.2324924170970917,-1.2077088803052902,-233.59214782714844,26.666666666666668,0,nan,0,nan
7,0,7,6.901088237762451,-1.0,1.7816850215499715,inf,inf,-142.17544555664062,0.0010243479628115892,0.0020653491374105215,-9.757280349731445e-05,-2.5486554354429245,-2.6455443799495697,-68.13105773925781,26.666666666666668,0,nan,0,nan
8,0,8,4.769107341766357,-1.0,2.624566962383793,inf,inf,-142.17544555664062,0.023474061861634254,0.0022990109864622355,-0.0007800906896591187,-0.992426335811615,-0.9143643081188202,-108.8260498046875,26.666666666666668,0,nan,0,nan
9,0,9,4.075671672821045,-1.0,2.8640327595270496,inf,inf,-142.17544555664062,0.005058617331087589,0.001007848302833736,-0.00024987757205963135,-0.5183703005313873,-0.4428112208843231,-50.66248321533203,26.666666666666668,0,nan,0,nan
10,0,10,4.353606224060059,-1.0,3.0416231753232705,inf,inf,-142.17544555664062,0.026650017127394676,0.005743616260588169,-0.00039349496364593506,-0.4526957720518112,-0.40213343501091003,126.70964050292969,26.666666666666668,0,nan,0,nan
11,0,11,4.705763816833496,-1.0,4.496452929924486,inf,inf,-142.17544555664062,0.005720094311982393,0.0003251915914006531,-0.0001666247844696045,-0.6001079231500626,-0.5243733078241348,-26.588329315185547,26.666666666666668,0,nan,0,nan
12,0,12,3.491025447845459,-1.0,4.0602417466365575,inf,inf,-142.17544555664062,0.0001792704570107162,0.001334442407824099,3.4570693969726562e-06,-0.07395294308662415,-0.06443783640861511,81.81195068359375,26.666666666666668,0,nan,0,nan
13,0,13,3.1976675987243652,-1.0,3.7076063173960736,inf,inf,-142.17544555664062,0.0009647640399634838,0.0018070550868287683,-6.847083568572998e-05,-0.45037509500980377,-0.40745218098163605,-18.26777458190918,26.666666666666668,0,nan,0,nan
14,0,14,4.052970886230469,-1.0,3.3458210633147836,inf,inf,-142.17544555664062,0.00016387645155191422,0.0018258446361869574,2.345442771911621e-05,-0.5680506825447083,-0.5314459502696991,-34.397945404052734,26.666666666666668,0,nan,0,nan
15,0,15,5.5016632080078125,-1.0,3.0113472711680958,inf,inf,-142.17544555664062,4.399320914671989e-06,0.00406162953004241,-2.586841583251953e-05,-0.3082054853439331,-0.20124192535877228,-51.672725677490234,26.666666666666668,0,nan,0,nan
16,0,16,5.196767807006836,-1.0,2.710472773642956,inf,inf,-142.17544555664062,2.4416500309598632e-05,0.00938267633318901,1.4886260032653809e-05,-1.244902864098549,-1.0737550407648087,-124.71160888671875,26.666666666666668,0,nan,0,nan
17,0,17,5.24952507019043,-1.0,2.7284441689240344,inf,inf,-142.17544555664062,0.02169550023972988,0.007506608497351408,-0.00019299983978271484,-0.9085247069597244,-1.023328110575676,-133.3042755126953,26.666666666666668,0,nan,0,nan
18,0,18,3.3251895904541016,-1.0,2.4768279187170723,inf,inf,-142.17544555664062,0.0014751143753528595,0.006948854308575392,-0.00022502243518829346,-0.50489142537117,-0.5406208336353302,-75.77375030517578,26.666666666666668,0,nan,0,nan
19,0,19,3.2682394981384277,-1.0,2.266452654173875,inf,inf,-142.17544555664062,0.00017622931045480072,0.00047236931277439,1.1473894119262695e-06,-0.27575306594371796,-0.29024574160575867,37.63887405395508,26.666666666666668,0,nan,0,nan
20,0,20,2.6252574920654297,-1.0,2.057122347149012,inf,inf,-142.17544555664062,1.140122094511753e-05,6.5846077632159e-05,2.294778823852539e-06,-0.1477692425251007,-0.14905604720115662,55.60010528564453,26.666666666666668,0,nan,0,nan
21,0,21,2.5436344146728516,-1.0,2.0095567490442434,inf,inf,-142.17544555664062,0.00016398594016209245,0.0001036923349602148,-1.519918441772461e-06,-0.12446987628936768,-0.11550730466842651,-9.189955711364746,26.666666666666668,0,nan,0,nan
22,0,22,2.820058822631836,-1.0,1.8379045448879254,inf,inf,-142.17544555664062,3.095620559179224e-05,0.00010564006515778601,-2.3990869522094727e-06,-0.18926505744457245,-0.1627904623746872,9.476211547851562,26.666666666666668,0,nan,0,nan
23,0,23,2.7114357948303223,-1.0,2.8029973475959182,inf,inf,-142.17544555664062,0.00026401906507089734,2.298049548699055e-05,2.6673078536987305e-06,-0.17640939354896545,-0.13719794154167175,11.690382957458496,26.666666666666668,0,nan,0,nan
24,0,24,2.93894100189209,-1.0,2.5490065093226266,inf,inf,-142.17544555664062,3.810492125921883e-05,0.00014483663835562766,-4.76837158203125e-07,-0.1799907684326172,-0.1275494396686554,-13.194607734680176,26.666666666666668,0,nan,0,nan
25,0,25,2.6298654079437256,-1.0,2.3105436990890835,inf,inf,-142.17544555664062,4.411061581777176e-06,2.6834799427888356e-05,1.5050172805786133e-06,-0.08985267579555511,-0.0883312076330185,37.05913543701172,26.666666666666668,0,nan,0,nan
26,0,26,2.584536075592041,-1.0,2.2372617105279162,inf,inf,-142.17544555664062,9.238799248123541e-05,5.85577727179043e-05,2.682209014892578e-07,-0.07051293551921844,-0.05860620737075806,17.808622360229492,26.666666666666668,0,nan,0,nan
27,0,27,2.480173349380493,-1.0,2.328205905400113,inf,inf,-142.17544555664062,4.889019692200236e-05,1.5536956198047847e-05,-3.4868717193603516e-06,-0.04220104217529297,-0.04970341920852661,35.58884811401367,26.666666666666668,0,nan,0,nan
28,0,28,2.9042673110961914,-1.0,2.1307211129925214,inf,inf,-142.17544555664062,9.843854058999568e-06,2.785802098514978e-05,-1.6689300537109375e-06,-0.029467418789863586,-0.030598193407058716,20.65148162841797,26.666666666666668,0,nan,0,nan
29,0,29,2.3265464305877686,-1.0,1.934400908982509,inf,inf,-142.17544555664062,9.697331734059844e-06,5.788792623206973e-05,5.304813385009766e-06,-0.006636500358581543,-0.006705731153488159,3.182363510131836,26.666666666666668,0,nan,0,nan
30,0,30,2.7165462970733643,-1.0,1.7834542635944202,inf,inf,-142.17544555664062,0.0002232027763966471,0.0005252640112303197,-4.26173210144043e-06,-0.05384361743927002,-0.06698159873485565,4.308229446411133,26.666666666666668,0,nan,0,nan
31,0,31,2.623434543609619,-1.0,1.6259483932375987,inf,inf,-142.17544555664062,9.509218216408044e-05,0.00045630618114955723,-4.112720489501953e-06,-0.0322984904050827,-0.04655724763870239,11.189592361450195,26.666666666666668,0,nan,0,nan
32,0,32,2.282909393310547,-1.0,1.4783890295923556,inf,inf,-142.17544555664062,1.405989041813882e-05,9.351144399261102e-05,2.2798776626586914e-06,0.0016457587480545044,-0.0019226521253585815,-3.6985063552856445,26.666666666666668,0,nan,0,nan
33,0,33,2.417332410812378,-1.0,1.9330472160058352,inf,inf,-142.17544555664062,0.0011187432100996375,0.0001856844173744321,-5.11854887008667e-05,-0.012380003929138184,-0.06177271902561188,103.49160766601562,26.666666666666668,0,nan,0,nan
34,0,34,2.327756881713867,-1.0,1.7468856546083784,inf,inf,-142.17544555664062,0.00013871498231310397,0.0019419273594394326,7.092952728271484e-06,-0.0005950331687927246,-0.0009502023458480835,9.164365768432617,26.666666666666668,0,nan,0,nan
35,0,35,2.474942207336426,-1.0,1.5721977052129876,inf,inf,-142.17544555664062,3.5976401857595874e-09,0.0005839704535901546,1.341104507446289e-06,-0.027893096208572388,-0.027381688356399536,2.200269937515259,26.666666666666668,0,nan,0,nan
36,0,36,2.370420217514038,-1.0,1.5590490124164122,inf,inf,-142.17544555664062,0.0002785769465845078,0.00019336077093612403,-3.427267074584961e-06,-0.014375776052474976,-0.02457183599472046,5.370489597320557,26.666666666666668,0,nan,0,nan
37,0,37,2.9726476669311523,-1.0,1.40861749229928,inf,inf,-142.17544555664062,1.3115432921040338e-05,0.00023962213890627027,4.231929779052734e-06,-0.04600146412849426,-0.039876654744148254,-17.63187026977539,26.666666666666668,0,nan,0,nan
38,0,38,2.685232162475586,-1.0,1.268025841507953,inf,inf,-142.17544555664062,2.775809662125539e-07,0.00010277029650751501,-7.301568984985352e-07,-0.06177355349063873,-0.06853558123111725,-4.684452056884766,26.666666666666668,0,nan,0,nan
39,0,39,2.644806385040283,-1.0,1.144199281164494,inf,inf,-142.17544555664062,4.855329734709812e-06,0.00016314821550622582,-2.384185791015625e-07,-0.04696214199066162,-0.05180928111076355,16.93626594543457,26.666666666666668,0,nan,0,nan
40,0,40,2.801527500152588,-1.0,1.0369260036072265,inf,inf,-142.17544555664062,9.241141924576368e-06,0.0001293073146371171,-2.8759241104125977e-06,-0.057007625699043274,-0.05285504460334778,-3.893415927886963,26.666666666666668,0,nan,0,nan
41,0,41,2.3923919200897217,-1.0,0.9390396400438865,inf,inf,-142.17544555664062,2.1155776721570874e-06,3.6436296795727685e-05,1.1771917343139648e-06,-0.022571980953216553,-0.026066824793815613,-2.869345188140869,26.666666666666668,0,nan,0,nan
42,0,42,2.365760326385498,-1.0,0.8453727060095179,inf,inf,-142.17544555664062,1.0762516211570983e-07,4.5405718992697075e-05,1.4901161193847656e-06,-0.01204875111579895,-0.01410725712776184,14.051422119140625,26.666666666666668,0,nan,0,nan
43,0,43,2.4422948360443115,-1.0,0.8502076955512353,inf,inf,-142.17544555664062,1.7282563931075856e-05,1.93377272807993e-05,5.513429641723633e-07,-0.030745312571525574,-0.029222428798675537,8.728775024414062,26.666666666666668,0,nan,0,nan
44,0,44,2.4101431369781494,-1.0,0.7979091076498436,inf,inf,-142.17544555664062,2.9258026188472286e-06,8.941343367041554e-06,1.087784767150879e-06,-0.015724509954452515,-0.014626279473304749,9.17247486114502,26.666666666666668,0,nan,0,nan
45,0,45,2.475067377090454,-1.0,0.7529281670968211,inf,inf,-142.17544555664062,5.6895169109338894e-06,1.6344503819709644e-05,1.430511474609375e-06,-0.017793133854866028,-0.01754939556121826,10.675455093383789,26.666666666666668,0,nan,0,nan
46,0,46,2.3631653785705566,-1.0,0.7012357508987436,inf,inf,-142.17544555664062,1.6971689547062851e-06,7.191271834017243e-06,4.917383193969727e-07,-0.008858948945999146,-0.010953843593597412,9.785269737243652,26.666666666666668,0,nan,0,nan
47,0,47,2.319105625152588,-1.0,0.6313126665615081,inf,inf,-142.17544555664062,3.34069056862063e-08,1.666256684984546e-05,-1.2069940567016602e-06,-0.007342860102653503,-0.005806133151054382,3.894289016723633,26.666666666666668,0,nan,0,nan
48,0,48,2.3265771865844727,-1.0,0.5690158178255934,inf,inf,-142.17544555664062,3.2389385751230293e-07,3.881674274452962e-05,1.9818544387817383e-06,-0.013480857014656067,-0.01537749171257019,12.840349197387695,26.666666666666668,0,nan,0,nan
