step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used,gamma_ok
0,0,0,4.783770561218262,-1.0,2.5019092940659546,inf,inf,-153.7586212158203,0.2258259654045105,0.09026145190000534,16.05047607421875,13.518379211425781,0.0002168416976928711,-0.057780683040618896,-0.05575305223464966,-153.7790985107422,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
1,0,1,4.674519062042236,-1.0,2.324461448305279,inf,inf,-153.7586212158203,0.015366609208285809,0.021124495193362236,13.931658744812012,13.420056343078613,-0.002194344997406006,-0.04378867149353027,-0.034301698207855225,-64.23738098144531,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
2,0,2,4.792884826660156,-1.0,2.1976185506883748,inf,inf,-153.7586212158203,0.010381902568042278,0.00983104482293129,16.58315658569336,12.331647872924805,-0.0022677183151245117,-0.2049933671951294,-0.19655215740203857,-93.28960418701172,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
3,0,3,4.714188575744629,-1.0,2.01723232740286,inf,inf,-153.7586212158203,0.0022134827449917793,0.005621453281491995,14.921168327331543,11.807575225830078,-0.00029534101486206055,0.05370283126831055,0.16196811199188232,-64.43257141113281,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
4,0,4,4.8257904052734375,-1.0,1.8700467887985974,inf,inf,-153.7586212158203,0.002312630182132125,0.004240425303578377,16.351064682006836,11.791418075561523,8.207559585571289e-05,-0.16111797094345093,-0.15578073263168335,-73.3546142578125,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
5,0,5,4.97606086730957,-1.0,1.6847521685684248,inf,inf,-153.7586212158203,7.161006942624226e-05,0.004187579732388258,15.544787406921387,11.670276641845703,-0.00015753507614135742,0.006574869155883789,0.0522196888923645,-75.30093383789062,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
6,0,6,4.7916460037231445,-1.0,1.5162776845005614,inf,inf,-153.7586212158203,1.1524285525865707e-08,0.001572660868987441,12.67072868347168,9.884537696838379,3.3974647521972656e-06,-0.07320225238800049,-0.05734282732009888,81.39884185791016,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
7,0,7,4.9686431884765625,-1.0,1.6621900321294794,inf,inf,-153.7586212158203,0.004067043773829937,0.001366889220662415,14.655442237854004,9.814523696899414,-0.0007970929145812988,0.27251559495925903,0.43992114067077637,111.06356811523438,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
8,0,8,5.172135353088379,-1.0,1.983954047125231,inf,inf,-153.7586212158203,0.009687370620667934,0.0019851860124617815,18.226720809936523,8.855897903442383,0.0014159083366394043,-0.5346595048904419,-0.5199816226959229,-37.99629211425781,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
9,0,9,4.877490043640137,-1.0,2.213904070958148,inf,inf,-153.7586212158203,0.00826728530228138,0.0019300510175526142,14.802265167236328,7.83677864074707,0.0006833672523498535,-0.44316065311431885,-0.40410178899765015,77.14225769042969,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
10,0,10,5.044661521911621,-1.0,2.3095693690839454,inf,inf,-153.7586212158203,0.002970497589558363,0.0009369008475914598,13.035575866699219,7.722454071044922,0.0002573728561401367,-0.4798555374145508,-0.34894734621047974,78.322021484375,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
11,0,11,5.163030624389648,-1.0,2.2653869535790685,inf,inf,-153.7586212158203,0.0026226427871733904,0.001404175884090364,15.755943298339844,7.557604789733887,-0.0005796551704406738,-0.33101886510849,-0.37950146198272705,34.33853530883789,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
12,0,12,4.962967395782471,-1.0,2.0639395110600454,inf,inf,-153.7586212158203,0.00046829076018184423,0.0018663506489247084,10.95084285736084,7.579861640930176,5.1081180572509766e-05,-0.11824262142181396,-0.11652719974517822,30.78225326538086,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
13,0,13,5.124975204467773,-1.0,2.177308601336976,inf,inf,-153.7586212158203,0.007372842635959387,0.0023057206999510527,10.695060729980469,6.633264541625977,-2.384185791015625e-07,-0.4338632822036743,-0.43014442920684814,59.72492218017578,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
14,0,14,4.912822246551514,-1.0,1.984683743759979,inf,inf,-153.7586212158203,0.0003852456284221262,0.0015344761777669191,7.987848281860352,6.247109413146973,-3.612041473388672e-05,-0.14418715238571167,-0.16042029857635498,-14.406179428100586,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
15,0,15,4.668067932128906,-1.0,1.8030519135892902,inf,inf,-153.7586212158203,2.4490054784109816e-05,0.00014545772864948958,4.664813995361328,5.734947681427002,1.3172626495361328e-05,-0.07315903902053833,-0.03936260938644409,-9.376954078674316,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
16,0,16,4.94167423248291,-1.0,1.9361365541904219,inf,inf,-153.7586212158203,0.0005697626038454473,0.00018180634651798755,9.24374008178711,5.760213375091553,5.155801773071289e-05,-0.16752076148986816,-0.1625603437423706,-27.98794937133789,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
17,0,17,4.691959381103516,-1.0,1.7543780665835456,inf,inf,-153.7586212158203,8.998266821436118e-06,7.590164022985846e-05,5.255371570587158,4.120182991027832,1.627206802368164e-05,-0.10655605792999268,-0.1292549967765808,26.083398818969727,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
18,0,18,4.721510887145996,-1.0,1.7416564782967703,inf,inf,-153.7586212158203,0.00010584938718238845,6.505152850877494e-05,6.388206958770752,3.898041248321533,2.1457672119140625e-06,-0.1336575746536255,-0.13991636037826538,17.102148056030273,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
19,0,19,4.677755832672119,-1.0,1.5737090014254005,inf,inf,-153.7586212158203,4.962610660186328e-07,7.980820555530954e-06,3.611051559448242,3.483438491821289,5.7220458984375e-06,-0.011945605278015137,-0.01345294713973999,11.211193084716797,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
20,0,20,4.751468658447266,-1.0,1.6273838130343363,inf,inf,-153.7586212158203,0.00025348461349494755,0.00012010886712232605,4.5892486572265625,3.342959403991699,1.341104507446289e-05,-0.11428695917129517,-0.13868963718414307,11.447887420654297,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
21,0,21,4.684443473815918,-1.0,1.7883624005097236,inf,inf,-153.7586212158203,4.621862171916291e-05,1.4277478840085678e-05,4.938652515411377,3.03749680519104,3.635883331298828e-06,-0.09882330894470215,-0.11850160360336304,25.715999603271484,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
22,0,22,4.667522430419922,-1.0,1.7445727780896756,inf,inf,-153.7586212158203,7.352857937803492e-05,5.444681301014498e-05,3.9219112396240234,2.875244140625,-8.285045623779297e-06,-0.0583307147026062,-0.03434878587722778,20.284828186035156,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
23,0,23,4.642502784729004,-1.0,1.6433615192430322,inf,inf,-153.7586212158203,1.6883057469385676e-05,2.304979534528684e-05,3.4300918579101562,2.6007091999053955,1.1026859283447266e-05,0.009158134460449219,0.03203880786895752,24.569482803344727,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
